Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
262500,32.94,193.76,0.03,1937.70,68.00,0.23
263000,32.94,193.86,0.04,1938.50,68.00,0.23
263500,33.00,193.90,0.04,1939.50,68.00,0.23
264000,33.00,194.25,0.04,1942.30,68.00,0.23
264500,33.06,194.66,0.04,1946.10,68.00,0.23
265000,33.00,193.98,0.04,1938.70,68.00,0.23
265500,33.00,194.18,0.04,1941.70,68.00,0.23
266000,33.00,194.61,0.04,1953.80,68.00,0.23
266500,33.06,193.77,0.04,1937.50,68.00,0.23
267000,33.06,194.10,0.04,1939.80,68.00,0.23
267500,33.06,194.67,0.04,1946.90,68.00,0.23
268000,33.06,193.62,0.04,1937.90,68.00,0.23
268500,33.13,193.85,0.04,1938.50,68.00,0.23
269000,33.13,194.85,0.04,1948.20,68.00,0.23
269500,33.13,195.43,0.04,1954.40,78.00,0.23
270000,33.13,193.71,0.04,1935.20,68.00,0.23
270500,33.13,194.30,0.04,1943.50,68.00,0.23
271000,33.19,194.01,0.04,1939.90,68.00,0.23
271500,33.19,195.54,0.04,1962.10,68.00,0.23
272000,33.19,193.21,0.04,1930.70,68.00,0.23
272500,33.25,193.96,0.04,1939.30,68.00,0.23
273000,33.25,195.26,0.04,1952.70,78.00,0.24
273500,33.25,193.02,0.03,1928.70,68.00,0.23
274000,33.31,194.38,0.03,1946.50,68.00,0.23
274500,33.31,194.16,0.03,1936.30,68.00,0.23
275000,33.38,194.53,0.04,1945.10,68.00,0.23
275500,33.38,194.31,0.04,1941.10,68.00,0.23
276000,33.38,192.27,0.04,1921.30,68.00,0.23
276500,33.38,199.79,0.04,1997.60,78.00,0.24
277000,33.38,196.04,0.04,1953.80,68.00,0.23
277500,33.44,193.42,0.04,1932.40,68.00,0.23
278000,33.44,200.50,0.04,2004.70,78.00,0.24
278500,33.44,200.54,0.04,2005.50,78.00,0.24
279000,33.44,200.40,0.04,2004.40,78.00,0.24
279500,33.50,200.26,0.04,2002.70,72.00,0.24
280000,33.50,196.89,0.04,1968.10,78.00,0.24
280500,33.50,196.20,0.04,1962.20,78.00,0.23
281000,33.50,196.38,0.04,1963.30,78.00,0.23
281500,33.50,196.58,0.04,1966.20,72.00,0.23
282000,33.50,195.52,0.04,1954.90,68.00,0.23
282500,33.50,195.45,0.04,1954.20,68.00,0.23
283000,33.44,196.25,0.04,1963.40,72.00,0.23
283500,33.50,196.54,0.04,1965.80,72.00,0.23
284000,33.50,196.55,0.04,1966.10,72.00,0.23
284500,33.56,196.31,0.04,1963.10,72.00,0.24
285000,33.56,196.64,0.04,1966.60,72.00,0.23
285500,33.63,196.78,0.04,1967.80,78.00,0.23
286000,33.63,196.33,0.04,1963.60,72.00,0.24
286500,33.63,196.45,0.04,1964.70,72.00,0.23
287000,33.69,196.00,0.04,1960.50,72.00,0.24
287500,33.69,195.93,0.04,1959.60,72.00,0.23
288000,33.69,196.44,0.04,1964.00,72.00,0.23
288500,33.75,196.87,0.04,1969.10,72.00,0.23
289000,33.75,197.00,0.04,1969.60,72.00,0.24
289500,33.75,197.05,0.04,1970.80,72.00,0.24
290000,33.75,196.97,0.04,1970.00,72.00,0.23
290500,33.75,197.08,0.04,1970.80,72.00,0.24
291000,33.81,197.31,0.04,1972.80,78.00,0.23
291500,33.81,197.22,0.04,1972.20,72.00,0.23
292000,33.88,197.17,0.04,1971.90,72.00,0.23
292500,33.88,197.16,0.04,1972.00,72.00,0.23
293000,33.88,197.05,0.04,1970.40,72.00,0.23
293500,33.88,197.77,0.04,1977.70,72.00,0.23
294000,33.88,198.05,0.04,1980.10,78.00,0.23
294500,33.94,198.03,0.04,1980.60,72.00,0.24
295000,33.94,198.10,0.04,1981.10,78.00,0.24
295500,33.94,195.65,0.04,1956.20,68.00,0.23
296000,33.94,193.52,0.04,1972.00,72.00,0.23
296500,34.00,193.08,0.04,1961.60,72.00,0.23
297000,34.00,196.43,0.04,1964.30,72.00,0.23
297500,34.00,196.75,0.04,1967.40,72.00,0.23
298000,34.00,197.09,0.04,1971.10,72.00,0.23
298500,34.00,196.22,0.04,1970.70,72.00,0.23
299000,34.00,196.68,0.04,1967.10,72.00,0.23
299500,34.00,196.33,0.04,1963.00,72.00,0.23
300000,34.00,196.15,0.04,1961.90,72.00,0.24
300500,34.00,196.07,0.04,1961.10,72.00,0.23
301000,34.00,196.41,0.04,1964.00,62.00,0.24
301500,34.06,196.58,0.04,1965.90,78.00,0.24
302000,34.06,196.62,0.04,1966.10,78.00,0.23
302500,34.06,196.32,0.04,1963.10,72.00,0.23
303000,34.06,196.25,0.04,1961.90,78.00,0.24
303500,34.06,196.40,0.04,1964.30,72.00,0.23
304000,34.06,196.41,0.04,1963.80,72.00,0.23
304500,34.06,194.07,0.04,1943.30,62.00,0.23
305000,34.06,195.87,0.04,1957.10,72.00,0.23
305500,34.06,195.44,0.04,1952.30,68.00,0.23
306000,34.13,196.63,0.04,1966.10,72.00,0.24
306500,34.13,196.60,0.04,1966.10,72.00,0.23
307000,34.13,196.19,0.04,1961.60,72.00,0.24
307500,34.19,196.64,0.03,1966.20,72.00,0.23
308000,34.19,195.90,0.04,1958.30,72.00,0.23
308500,34.25,198.82,0.04,1964.80,78.00,0.23
309000,34.25,196.14,0.04,1961.20,72.00,0.23
309500,34.31,197.00,0.04,1970.10,72.00,0.24
310000,34.31,196.67,0.04,1966.70,72.00,0.23
310500,34.31,196.70,0.04,1983.00,78.00,0.24
311000,34.31,197.15,0.04,1971.50,72.00,0.23
311500,34.38,195.97,0.04,1958.20,72.00,0.23
312000,34.38,196.46,0.04,1963.90,72.00,0.24
312500,34.38,196.74,0.04,1967.10,72.00,0.24
313000,34.38,197.35,0.04,1973.40,72.00,0.23
313500,34.44,197.04,0.04,1971.20,78.00,0.24
314000,34.44,197.39,0.04,1973.90,72.00,0.23
314500,34.44,197.89,0.04,1978.40,78.00,0.23
315000,34.50,197.70,0.04,1977.10,78.00,0.23
315500,34.50,197.73,0.04,1977.10,78.00,0.23
316000,34.50,197.20,0.04,1975.00,72.00,0.23
316500,34.56,195.38,0.04,1955.30,68.00,0.23
317000,34.56,197.41,0.04,1973.50,78.00,0.23
317500,34.56,195.59,0.04,1954.70,68.00,0.24
318000,34.56,197.94,0.04,1979.60,78.00,0.24
318500,34.63,198.13,0.04,1981.60,78.00,0.23
319000,34.63,198.29,0.04,1983.30,78.00,0.23
319500,34.63,196.86,0.04,1968.90,72.00,0.23
320000,34.63,196.60,0.04,1966.50,78.00,0.23
320500,34.69,197.07,0.04,1970.90,78.00,0.23
321000,34.69,196.57,0.04,1956.40,72.00,0.23
321500,34.69,198.21,0.04,1981.90,78.00,0.23
322000,34.69,197.26,0.04,1972.80,72.00,0.23
322500,34.69,197.15,0.04,1971.10,72.00,0.24
323000,34.75,197.56,0.04,1975.20,72.00,0.24
323500,34.75,198.58,0.04,1985.50,72.00,0.23
324000,34.81,197.87,0.04,1979.70,78.00,0.23
324500,34.81,198.85,0.04,1989.30,78.00,0.23
325000,34.81,197.27,0.04,1976.90,72.00,0.24
325500,34.81,198.05,0.04,1980.70,72.00,0.24
326000,34.81,199.27,0.04,1993.10,78.00,0.24
326500,34.88,199.56,0.04,1996.30,78.00,0.24
327000,34.88,199.70,0.04,1997.10,78.00,0.24
327500,34.88,199.42,0.04,1991.60,78.00,0.24
328000,34.88,198.39,0.04,1984.00,78.00,0.24
328500,34.94,199.94,0.04,1999.80,78.00,0.24
329000,34.94,198.40,0.04,1984.10,78.00,0.24
329500,34.94,198.98,0.04,1989.80,72.00,0.23
330000,34.94,198.84,0.04,1988.60,72.00,0.24
330500,34.94,198.53,0.04,1985.00,72.00,0.24
331000,34.94,198.69,0.04,1986.70,72.00,0.24
331500,35.00,198.80,0.04,1988.00,72.00,0.24
332000,35.00,198.70,0.04,1994.80,72.00,0.24
332500,35.00,199.45,0.04,1994.70,72.00,0.24
333000,35.00,199.89,0.04,1998.40,72.00,0.24
333500,35.00,197.65,0.03,1985.00,78.00,0.23
334000,35.06,199.94,0.04,1999.30,72.00,0.24
334500,35.06,199.90,0.04,1999.10,78.00,0.24
335000,35.06,200.35,0.04,2003.40,78.00,0.24
335500,35.13,200.24,0.04,2002.70,72.00,0.24
336000,35.13,200.10,0.04,2003.20,78.00,0.24
336500,35.19,200.18,0.04,2002.70,72.00,0.24
337000,35.19,200.71,0.04,2006.80,78.00,0.24
337500,35.19,200.72,0.04,2007.00,78.00,0.24
338000,35.25,200.52,0.04,2005.30,78.00,0.24
338500,35.25,200.64,0.04,2006.20,78.00,0.24
339000,35.25,200.53,0.04,2005.40,78.00,0.24
339500,35.31,200.67,0.04,2006.00,72.00,0.24
340000,35.31,199.91,0.04,1998.10,78.00,0.24
340500,35.31,200.67,0.04,2006.60,78.00,0.24
341000,35.31,200.33,0.04,2007.40,82.00,0.24
341500,35.31,200.77,0.04,2007.70,72.00,0.24
342000,35.38,200.84,0.04,2008.20,82.00,0.24
342500,35.38,200.74,0.04,2007.40,82.00,0.24
343000,35.38,200.82,0.04,2008.40,82.00,0.24
343500,35.44,200.85,0.04,2008.80,82.00,0.24
344000,35.44,200.84,0.04,2008.00,82.00,0.24
344500,35.44,200.82,0.04,2008.40,82.00,0.24
345000,35.50,200.85,0.04,2008.40,88.00,0.24
345500,35.50,200.94,0.04,2009.10,82.00,0.24
346000,35.50,200.94,0.04,2009.60,82.00,0.24
346500,35.50,200.91,0.04,2009.60,82.00,0.24
347000,35.50,201.01,0.04,2009.80,82.00,0.24
347500,35.56,201.01,0.04,2009.90,82.00,0.24
348000,35.56,200.98,0.04,2009.80,72.00,0.24
348500,35.56,201.01,0.04,2009.90,82.00,0.24
349000,35.56,201.03,0.04,2010.20,72.00,0.24
349500,35.56,201.07,0.04,2010.30,82.00,0.24
350000,35.56,201.10,0.04,2010.80,82.00,0.24
350500,35.56,201.10,0.04,2010.80,82.00,0.24
351000,35.56,201.13,0.04,2011.30,82.00,0.24
351500,35.63,201.20,0.04,2012.10,82.00,0.24
352000,35.56,201.14,0.04,2012.60,82.00,0.24
352500,35.63,201.17,0.04,2012.10,82.00,0.24
353000,35.63,201.14,0.04,2012.40,82.00,0.24
353500,35.63,201.26,0.04,2013.10,82.00,0.24
354000,35.63,201.24,0.04,2012.40,82.00,0.24
354500,35.63,201.22,0.04,2012.40,82.00,0.24
355000,35.63,201.26,0.04,2012.50,82.00,0.24
355500,35.63,198.71,0.04,1987.90,78.00,0.23
356000,35.69,201.28,0.04,2012.90,72.00,0.24
356500,35.69,201.25,0.04,2011.70,82.00,0.24
357000,35.69,200.70,0.04,2006.90,78.00,0.24
357500,35.69,201.24,0.04,2011.90,82.00,0.24
358000,35.69,201.43,0.04,2013.80,82.00,0.24
358500,35.69,201.37,0.04,2013.30,82.00,0.24
359000,35.75,201.26,0.04,2012.70,82.00,0.24
359500,35.75,201.31,0.04,2013.80,72.00,0.24
360000,35.75,201.34,0.04,2013.40,72.00,0.24
360500,35.75,201.34,0.04,2013.30,82.00,0.24
361000,35.81,201.41,0.04,2014.30,88.00,0.24
361500,35.81,201.57,0.04,2015.30,82.00,0.24
362000,35.81,201.49,0.04,2015.20,82.00,0.24
362500,35.81,200.88,0.04,2015.20,82.00,0.24
363000,35.81,201.56,0.04,2015.40,82.00,0.25
363500,35.88,201.59,0.04,2016.20,82.00,0.24
364000,35.88,201.64,0.04,2016.90,82.00,0.24
364500,35.88,201.82,0.04,2017.40,82.00,0.24
365000,35.88,201.83,0.04,2018.00,82.00,0.24
365500,35.88,201.88,0.04,2018.60,82.00,0.24
366000,35.94,201.94,0.04,2019.70,72.00,0.24
366500,35.94,201.29,0.04,2013.60,82.00,0.24
367000,35.94,202.01,0.04,2020.10,82.00,0.24
367500,36.00,202.03,0.04,2019.80,72.00,0.24
368000,36.00,202.12,0.04,2021.20,82.00,0.24
368500,36.00,201.93,0.04,2018.70,82.00,0.24
369000,36.00,201.47,0.04,2014.50,82.00,0.24
369500,36.06,201.30,0.04,2011.90,82.00,0.24
370000,36.06,201.07,0.04,2011.20,82.00,0.24
370500,36.13,201.98,0.04,2019.10,82.00,0.24
371000,36.13,202.04,0.04,2020.00,82.00,0.24
371500,36.13,202.13,0.04,2021.10,82.00,0.24
372000,36.19,202.21,0.04,2022.20,82.00,0.24
372500,36.19,201.43,0.04,2014.80,88.00,0.24
373000,36.19,201.30,0.04,2013.80,88.00,0.24
373500,36.19,202.08,0.04,2020.50,82.00,0.24
374000,36.19,202.03,0.04,2020.30,82.00,0.24
374500,36.25,202.21,0.04,2021.60,82.00,0.25
375000,36.25,202.16,0.04,2021.80,82.00,0.24
375500,36.25,201.63,0.04,2015.80,82.00,0.24
376000,36.25,201.52,0.04,2014.70,82.00,0.24
376500,36.31,201.54,0.04,2015.60,82.00,0.24
377000,36.31,201.12,0.04,2011.10,82.00,0.24
377500,36.31,202.12,0.04,2022.10,82.00,0.24
378000,36.38,202.21,0.04,2022.00,72.00,0.24
378500,36.38,202.18,0.04,2021.70,82.00,0.24
379000,36.38,202.21,0.04,2022.50,82.00,0.25
379500,36.44,202.23,0.04,2022.10,82.00,0.24
380000,36.44,202.33,0.04,2023.30,82.00,0.24
380500,36.44,202.38,0.04,2023.80,82.00,0.25
381000,36.50,202.46,0.04,2024.20,82.00,0.24
381500,36.56,202.40,0.04,2024.30,72.00,0.24
382000,36.50,202.34,0.04,2023.30,82.00,0.24
382500,36.56,202.40,0.04,2024.70,82.00,0.24
383000,36.56,202.63,0.04,2025.90,82.00,0.24
383500,36.63,202.67,0.04,2026.60,82.00,0.24
384000,36.63,202.64,0.04,2026.20,88.00,0.24
384500,36.63,202.77,0.04,2027.90,82.00,0.24
385000,36.69,202.72,0.04,2027.60,82.00,0.24
385500,36.69,202.77,0.04,2027.70,82.00,0.24
386000,36.69,202.64,0.04,2027.20,82.00,0.24
386500,36.69,202.84,0.04,2029.00,82.00,0.24
387000,36.69,202.91,0.04,2028.70,82.00,0.24
387500,36.69,203.00,0.04,2029.20,82.00,0.24
388000,36.69,202.88,0.04,2028.60,82.00,0.25
388500,36.69,202.72,0.04,2027.30,82.00,0.24
389000,36.75,203.06,0.04,2030.60,82.00,0.24
389500,36.75,203.17,0.04,2032.30,82.00,0.24
390000,36.75,203.06,0.04,2031.00,82.00,0.24
390500,36.81,203.09,0.04,2031.20,82.00,0.25
391000,36.81,202.25,0.04,2022.50,82.00,0.24
391500,36.81,201.89,0.04,2021.20,82.00,0.24
392000,36.81,202.81,0.04,2024.70,82.00,0.24
392500,36.81,202.14,0.04,2020.60,72.00,0.24
393000,36.88,202.15,0.04,2021.50,82.00,0.24
393500,36.88,206.30,0.04,2063.00,92.00,0.25
394000,36.88,206.46,0.04,2064.60,82.00,0.25
394500,36.88,206.59,0.04,2065.80,82.00,0.25
395000,36.88,206.70,0.04,2067.10,82.00,0.25
395500,36.88,206.78,0.04,2067.80,92.00,0.25
396000,36.88,206.86,0.04,2068.20,82.00,0.25
396500,36.88,206.88,0.04,2068.30,92.00,0.25
397000,36.88,206.92,0.04,2069.20,82.00,0.25
397500,36.94,206.95,0.04,2069.30,92.00,0.25
398000,36.94,206.95,0.04,2069.50,92.00,0.25
398500,37.00,206.95,0.04,2069.80,92.00,0.25
399000,36.94,206.97,0.04,2069.70,82.00,0.25
399500,37.00,207.03,0.04,2070.10,82.00,0.25
400000,37.00,206.99,0.04,2070.20,92.00,0.25
400500,37.00,207.05,0.04,2070.40,92.00,0.25
401000,37.00,207.08,0.04,2070.90,82.00,0.25
401500,37.06,207.11,0.04,2071.30,82.00,0.25
402000,37.06,207.18,0.04,2071.30,92.00,0.25
402500,37.06,207.17,0.04,2072.00,82.00,0.25
403000,37.06,207.21,0.04,2071.90,82.00,0.25
403500,37.06,207.21,0.04,2072.40,92.00,0.25
404000,37.06,207.24,0.04,2072.40,92.00,0.25
404500,37.06,207.23,0.04,2072.30,92.00,0.25
405000,37.06,207.26,0.04,2072.30,82.00,0.25
405500,37.06,207.28,0.04,2073.10,92.00,0.25
406000,37.13,207.32,0.04,2073.40,92.00,0.25
406500,37.13,207.34,0.04,2073.70,92.00,0.25
407000,37.13,207.41,0.04,2074.00,82.00,0.25
407500,37.19,207.48,0.04,2074.70,92.00,0.25
408000,37.19,207.49,0.04,2074.90,82.00,0.25
408500,37.19,207.53,0.04,2075.60,82.00,0.25
409000,37.19,207.61,0.04,2075.70,92.00,0.25
409500,37.19,207.58,0.04,2076.30,92.00,0.25
410000,37.19,207.64,0.04,2076.60,92.00,0.25
410500,37.25,207.70,0.04,2076.70,82.00,0.25
411000,37.25,207.72,0.04,2077.30,82.00,0.25
411500,37.25,207.81,0.04,2078.10,92.00,0.25
412000,37.31,207.87,0.04,2078.60,82.00,0.25
412500,37.31,207.88,0.04,2079.20,92.00,0.25
413000,37.31,207.96,0.04,2080.10,82.00,0.25
413500,37.31,208.03,0.04,2080.70,92.00,0.25
414000,37.31,208.13,0.04,2081.10,92.00,0.25
414500,37.38,208.21,0.04,2082.10,82.00,0.25
415000,37.38,208.23,0.04,2082.50,92.00,0.25
415500,37.38,208.31,0.04,2083.20,92.00,0.25
416000,37.38,208.38,0.04,2083.10,92.00,0.25
416500,37.38,208.39,0.04,2083.80,92.00,0.25
417000,37.38,208.43,0.04,2084.50,92.00,0.25
417500,37.38,208.48,0.04,2085.10,92.00,0.25
418000,37.44,208.52,0.04,2085.20,92.00,0.25
418500,37.44,208.57,0.04,2086.10,92.00,0.25
419000,37.44,208.61,0.04,2086.60,92.00,0.25
419500,37.50,208.68,0.04,2086.60,92.00,0.25
420000,37.50,208.70,0.04,2087.00,82.00,0.25
420500,37.50,208.77,0.04,2087.40,92.00,0.25
421000,37.50,208.82,0.04,2088.00,92.00,0.25
421500,37.50,208.86,0.04,2088.30,92.00,0.25
422000,37.56,208.89,0.04,2088.90,82.00,0.25
422500,37.56,208.89,0.04,2089.40,92.00,0.25
423000,37.56,208.95,0.04,2089.40,92.00,0.25
423500,37.56,209.01,0.04,2090.10,92.00,0.25
424000,37.56,209.05,0.04,2090.80,102.00,0.25
424500,37.63,209.11,0.04,2091.30,92.00,0.25
425000,37.63,209.15,0.04,2091.70,92.00,0.25
425500,37.63,209.19,0.04,2092.30,86.00,0.25
426000,37.63,209.24,0.04,2092.60,92.00,0.25
426500,37.63,209.30,0.04,2093.10,86.00,0.25
427000,37.63,209.37,0.04,2093.60,92.00,0.25
427500,37.69,209.41,0.04,2094.10,92.00,0.25
428000,37.69,209.48,0.04,2094.60,92.00,0.25
428500,37.69,209.51,0.04,2095.30,92.00,0.25
429000,37.69,209.58,0.04,2095.60,92.00,0.25
429500,37.69,209.61,0.04,2096.30,92.00,0.25
430000,37.69,209.67,0.04,2097.00,92.00,0.25
430500,37.69,209.70,0.04,2097.20,92.00,0.25
431000,37.69,209.76,0.04,2097.50,92.00,0.25
431500,37.69,209.77,0.04,2098.10,86.00,0.25
432000,37.69,209.79,0.04,2097.70,92.00,0.25
432500,37.75,209.83,0.04,2098.40,92.00,0.25
433000,37.69,209.83,0.04,2098.50,92.00,0.25
433500,37.69,209.87,0.04,2098.40,92.00,0.25
434000,37.69,209.89,0.04,2098.70,92.00,0.25
434500,37.69,209.94,0.04,2099.00,92.00,0.25
435000,37.75,209.96,0.04,2099.50,102.00,0.25
435500,37.75,209.96,0.04,2099.70,92.00,0.25
436000,37.75,210.00,0.04,2100.10,92.00,0.25
436500,37.81,210.02,0.04,2100.80,92.00,0.25
437000,37.81,210.03,0.04,2100.50,92.00,0.25
437500,37.81,210.08,0.04,2100.90,92.00,0.25
438000,37.88,210.15,0.04,2101.70,92.00,0.25
438500,37.88,210.19,0.04,2101.40,92.00,0.25
439000,37.88,210.18,0.04,2101.50,92.00,0.25
439500,37.94,210.21,0.04,2101.90,92.00,0.25
440000,37.94,210.27,0.04,2102.30,92.00,0.25
440500,37.94,210.26,0.04,2102.40,92.00,0.25
441000,37.94,210.31,0.04,2103.10,92.00,0.25
441500,37.94,210.33,0.04,2103.30,86.00,0.25
442000,38.00,210.37,0.04,2103.50,92.00,0.25
442500,38.00,210.37,0.04,2103.70,92.00,0.25
443000,38.06,210.40,0.04,2104.20,92.00,0.25
443500,38.06,210.45,0.04,2104.60,102.00,0.25
444000,38.06,210.49,0.04,2105.10,92.00,0.25
444500,38.06,210.52,0.04,2105.20,92.00,0.25
445000,38.06,210.53,0.04,2105.70,92.00,0.25
445500,38.13,210.62,0.04,2105.70,92.00,0.25
446000,38.13,210.62,0.04,2105.70,92.00,0.25
446500,38.13,210.62,0.04,2106.00,92.00,0.25
447000,38.13,210.67,0.04,2106.20,92.00,0.25
447500,38.19,210.67,0.04,2106.80,86.00,0.25
448000,38.13,210.69,0.04,2107.20,92.00,0.25
448500,38.19,210.73,0.04,2107.20,92.00,0.25
449000,38.19,210.77,0.04,2107.60,92.00,0.25
449500,38.19,210.79,0.04,2108.00,92.00,0.25
450000,38.25,210.83,0.04,2108.30,92.00,0.25
450500,38.25,210.87,0.04,2108.70,86.00,0.25
451000,38.25,210.87,0.04,2108.90,92.00,0.25
451500,38.31,210.94,0.04,2109.20,92.00,0.25
452000,38.31,210.94,0.04,2109.30,92.00,0.25
452500,38.31,210.99,0.04,2109.50,92.00,0.25
453000,38.38,211.00,0.04,2110.10,92.00,0.25
453500,38.38,211.01,0.04,2109.90,92.00,0.26
454000,38.38,211.05,0.04,2110.50,92.00,0.26
454500,38.44,211.01,0.05,2110.50,92.00,0.26
455000,38.44,211.09,0.04,2110.50,86.00,0.26
455500,38.44,211.11,0.04,2111.00,92.00,0.26
456000,38.44,211.13,0.04,2111.70,92.00,0.26
456500,38.50,211.15,0.04,2111.50,92.00,0.26
457000,38.50,211.18,0.04,2111.90,92.00,0.26
457500,38.50,211.18,0.04,2111.90,92.00,0.26
458000,38.56,211.22,0.04,2112.10,92.00,0.26
458500,38.56,211.23,0.04,2112.40,92.00,0.26
459000,38.56,211.25,0.04,2112.50,92.00,0.26
459500,38.56,211.28,0.04,2112.90,92.00,0.26
460000,38.56,211.30,0.04,2113.00,92.00,0.26
460500,38.63,211.29,0.04,2113.20,92.00,0.26
461000,38.63,211.33,0.04,2113.20,102.00,0.26
461500,38.63,211.35,0.05,2114.10,92.00,0.26
462000,38.69,211.42,0.04,2113.70,86.00,0.25
462500,38.69,211.39,0.04,2113.90,92.00,0.26
463000,38.69,211.46,0.04,2114.50,102.00,0.26
463500,38.69,211.50,0.04,2114.50,92.00,0.25
464000,38.69,211.51,0.04,2114.70,92.00,0.26
464500,38.75,211.52,0.04,2115.40,92.00,0.26
465000,38.75,211.51,0.05,2114.90,92.00,0.26
465500,38.75,211.55,0.04,2115.50,92.00,0.26
466000,38.75,211.61,0.04,2115.60,92.00,0.26
466500,38.81,211.65,0.04,2116.20,92.00,0.26
467000,38.81,211.66,0.04,2116.30,102.00,0.26
467500,38.88,211.66,0.04,2116.20,92.00,0.26
468000,38.88,211.65,0.04,2116.70,92.00,0.26
468500,38.88,211.67,0.04,2117.00,102.00,0.26
469000,38.94,211.73,0.04,2117.40,86.00,0.26
469500,38.94,211.75,0.04,2117.20,92.00,0.26
470000,38.94,211.80,0.04,2117.80,92.00,0.26
470500,38.88,211.85,0.04,2118.10,102.00,0.26
471000,38.88,211.83,0.04,2118.20,86.00,0.26
471500,38.88,211.86,0.04,2118.20,92.00,0.25
472000,38.94,211.90,0.04,2118.50,92.00,0.26
472500,38.94,211.91,0.04,2118.60,102.00,0.26
473000,38.94,211.87,0.04,2119.30,92.00,0.26
473500,38.94,211.88,0.04,2118.90,92.00,0.26
474000,38.94,211.95,0.04,2119.20,102.00,0.26
474500,38.94,211.92,0.04,2119.50,92.00,0.26
475000,38.94,211.88,0.05,2119.30,92.00,0.26
475500,38.94,211.92,0.04,2119.70,92.00,0.26
476000,39.00,211.96,0.04,2119.20,92.00,0.26
476500,39.00,211.95,0.04,2119.70,92.00,0.26
477000,39.06,211.95,0.04,2119.80,92.00,0.26
477500,39.06,211.98,0.04,2120.10,92.00,0.26
478000,39.13,211.97,0.05,2119.70,92.00,0.26
478500,39.13,212.02,0.04,2120.30,92.00,0.26
479000,39.13,212.03,0.04,2120.10,102.00,0.26
479500,39.13,212.06,0.04,2120.80,102.00,0.26
480000,39.13,212.09,0.04,2120.40,86.00,0.26
480500,39.13,212.07,0.05,2120.90,92.00,0.26
481000,39.13,212.15,0.04,2121.10,92.00,0.26
481500,39.13,212.12,0.04,2121.50,92.00,0.26
482000,39.13,212.18,0.05,2121.80,102.00,0.26
482500,39.13,212.20,0.04,2122.00,92.00,0.26
483000,39.13,212.23,0.04,2122.50,96.00,0.26
483500,39.13,212.25,0.04,2122.60,96.00,0.26
484000,39.19,212.28,0.04,2123.10,96.00,0.26
484500,39.19,212.30,0.05,2123.80,102.00,0.26
485000,39.19,212.36,0.04,2123.80,96.00,0.26
485500,39.19,212.40,0.04,2124.20,96.00,0.26
486000,39.25,212.43,0.05,2124.10,102.00,0.26
486500,39.25,212.46,0.04,2124.80,96.00,0.26
487000,39.25,212.47,0.05,2124.60,96.00,0.26
487500,39.19,212.48,0.05,2125.30,96.00,0.26
488000,39.19,212.55,0.04,2125.30,96.00,0.26
488500,39.19,212.60,0.04,2125.90,96.00,0.26
489000,39.25,212.63,0.04,2126.40,86.00,0.26
489500,39.25,212.68,0.04,2126.30,102.00,0.26
490000,39.25,212.74,0.05,2127.20,96.00,0.26
490500,39.25,212.77,0.04,2127.70,96.00,0.26
491000,39.25,212.82,0.04,2128.30,96.00,0.26
491500,39.31,212.88,0.05,2128.60,96.00,0.26
492000,39.25,212.86,0.04,2128.70,96.00,0.26
492500,39.31,212.90,0.04,2129.10,96.00,0.26
493000,39.31,212.91,0.04,2129.70,96.00,0.26
493500,39.31,212.96,0.04,2129.40,96.00,0.26
494000,39.31,212.97,0.04,2130.30,86.00,0.26
494500,39.31,212.99,0.04,2130.10,102.00,0.26
495000,39.31,213.00,0.04,2130.20,102.00,0.26
495500,39.31,213.07,0.04,2130.00,96.00,0.26
496000,39.31,213.04,0.04,2130.30,96.00,0.26
496500,39.38,213.10,0.04,2131.00,96.00,0.26
497000,39.38,213.07,0.05,2131.00,96.00,0.26
497500,39.38,213.15,0.04,2131.10,96.00,0.26
498000,39.38,213.14,0.04,2131.40,96.00,0.26
498500,39.38,213.18,0.04,2131.60,96.00,0.26
499000,39.44,213.22,0.04,2131.90,96.00,0.26
499500,39.44,213.19,0.04,2132.30,96.00,0.26
500000,39.44,213.22,0.04,2132.50,102.00,0.26
500500,39.44,213.25,0.04,2132.90,96.00,0.26
501000,39.44,213.27,0.05,2132.80,102.00,0.26
501500,39.50,213.28,0.04,2132.80,96.00,0.26
502000,39.50,213.29,0.04,2133.10,96.00,0.26
502500,39.50,213.35,0.04,2133.20,96.00,0.26
503000,39.50,213.35,0.04,2134.00,96.00,0.26
503500,39.50,213.40,0.04,2134.00,102.00,0.26
504000,39.56,213.38,0.04,2134.10,102.00,0.26
504500,39.56,213.46,0.05,2134.20,96.00,0.26
505000,39.56,213.43,0.04,2134.70,96.00,0.26
505500,39.56,213.46,0.05,2134.70,102.00,0.26
506000,39.56,213.51,0.05,2135.10,96.00,0.26
506500,39.63,213.51,0.04,2135.60,96.00,0.26
507000,39.63,213.58,0.04,2135.90,102.00,0.26
507500,39.69,213.57,0.04,2135.70,102.00,0.26
508000,39.69,213.61,0.04,2135.60,96.00,0.26
508500,39.69,213.65,0.04,2136.30,96.00,0.26
509000,39.75,213.68,0.04,2136.30,96.00,0.26
509500,39.75,213.69,0.05,2136.60,96.00,0.26
510000,39.75,213.71,0.04,2137.10,96.00,0.26
510500,39.75,213.73,0.05,2137.40,96.00,0.26
511000,39.75,213.78,0.04,2137.60,102.00,0.26
