Times (us),interval (us),strain (raw),sensorValue0 (raw)
2813512,12500,2289232,321
2826016,12504,2295554,321
2838520,12504,2274344,320
2851020,12500,2282170,320
2863524,12504,2294072,320
2876024,12500,2290618,320
2888524,12500,2278125,319
2901024,12500,2277093,319
2913524,12500,2288436,319
2926024,12500,2293337,319
2938524,12500,2284561,318
2951028,12504,2282066,318
2963532,12504,2291829,318
2976032,12500,2290628,318
2988532,12500,2280633,317
3001032,12500,2277750,317
3013532,12500,2286316,317
3026036,12504,2292017,317
3038536,12500,2285905,316
3051036,12500,2281763,316
3063536,12500,2290209,316
3076036,12500,2289505,316
3088536,12500,2281357,315
3101036,12500,2278856,315
3113536,12500,2285906,315
3126040,12504,2291144,315
3138544,12504,2286310,315
3151048,12504,2279511,314
3163552,12504,2288951,314
3176052,12500,2289456,314
3188552,12500,2282696,314
3201056,12504,2279596,313
3213560,12504,2284859,313
3226060,12500,2289730,313
3238560,12500,2286388,313
3251060,12500,2280536,312
3263560,12500,2287579,313
3276060,12500,2288895,313
3288560,12500,2283395,312
3301060,12500,2280239,312
3313564,12504,2284463,312
3326068,12504,2288942,312
3338572,12504,2286636,312
3351072,12500,2281370,311
3363572,12500,2286777,311
3376072,12500,2288341,311
3388572,12500,2283924,311
3401072,12500,2280995,310
3413576,12504,2284232,310
3426076,12500,2288250,310
3438576,12500,2286484,310
3451076,12500,2282268,310
3463576,12500,2282277,310
3476076,12500,2287520,310
3488576,12500,2284482,310
3501080,12504,2282235,309
3513580,12500,2284150,309
3526080,12500,2286925,309
3538580,12500,2286052,309
3551084,12504,2283303,309
3563584,12500,2283115,309
3576088,12504,2286342,309
3588592,12504,2284834,309
3601092,12500,2283556,308
3613592,12500,2283946,308
3626092,12500,2285625,308
3638596,12504,2287201,308
3651096,12500,2285526,308
3663600,12504,2281866,308
3676100,12500,2281895,308
3688600,12500,2289277,307
3701100,12500,2284346,307
3713600,12500,2279831,307
3726100,12500,2283134,307
3738600,12500,2289005,307
3751104,12504,2287917,306
3763608,12504,2282526,306
3776112,12504,2285003,306
3788612,12500,2295341,306
3801112,12500,2298282,306
3813612,12500,2301483,306
3826112,12500,2304249,306
3838612,12500,2306314,306
3851112,12500,2307436,305
3863612,12500,2307499,305
3876116,12504,2306490,305
3888620,12504,2305110,305
3901120,12500,2301465,305
3913624,12504,2298059,305
3926128,12504,2294294,305
3938632,12504,2292372,305
3951132,12500,2294593,304
3963632,12500,2300131,304
3976132,12500,2302724,304
3988632,12500,2299114,304
4001132,12500,2294139,304
4013632,12500,2298370,304
4026132,12500,2301849,304
4038632,12500,2300687,304
4051132,12500,2296307,303
4063632,12500,2293822,303
4076132,12500,2296114,303
4088636,12504,2300312,303
4101136,12500,2301652,303
4113636,12500,2294619,303
4126140,12504,2294579,303
4138640,12500,2297989,303
4151140,12500,2301010,302
4163640,12500,2300090,302
4176140,12500,2296409,302
4188640,12500,2294469,302
4201144,12504,2296514,302
4213644,12500,2300906,302
4226144,12500,2297945,302
4238648,12504,2294716,302
4251148,12500,2294775,301
4263648,12500,2298103,301
4276148,12500,2300921,301
4288648,12500,2299796,301
4301148,12500,2296097,301
4313648,12500,2294485,301
4326148,12500,2300180,301
4338648,12500,2300729,301
4351152,12504,2297817,300
4363656,12504,2295040,300
4376160,12504,2295538,301
4388660,12500,2298677,301
4401160,12500,2300635,300
4413660,12500,2299083,300
4426164,12504,2295152,300
4438668,12504,2297183,300
4451168,12500,2299723,300
4463668,12500,2299951,300
4476168,12500,2297522,300
4488668,12500,2295461,300
4501168,12500,2296082,299
4513668,12500,2298593,299
4526172,12504,2298538,299
4538672,12500,2295979,299
4551172,12500,2295432,299
4563672,12500,2297552,299
4576172,12500,2299732,299
4588672,12500,2299509,299
4601176,12504,2297027,299
4613676,12500,2295055,299
4626180,12504,2296110,299
4638680,12500,2300162,299
4651184,12504,2298209,298
4663688,12504,2295637,298
4676188,12500,2295518,298
4688688,12500,2297962,298
4701188,12500,2300058,298
4713692,12504,2299540,298
4726192,12500,2296702,298
4738692,12500,2295780,298
4751192,12500,2299080,298
4763692,12500,2300622,298
4776192,12500,2298604,298
4788696,12504,2295399,298
4801196,12500,2294769,298
4813700,12504,2297495,298
4826204,12504,2300284,298
4838704,12500,2299962,298
4851204,12500,2294399,297
4863708,12504,2295708,297
