Times (us),interval (us),strain (raw),sensorValue0 (raw)
2813488,12500,3746550,321
2825988,12500,3797199,320
2838488,12500,3894788,320
2850988,12500,3949195,320
2863488,12500,4007134,320
2875988,12500,4065114,320
2888492,12504,4119783,319
2901000,12508,4170381,319
2913504,12504,4216375,319
2926004,12500,4257856,319
2938504,12500,4295702,318
2951004,12500,4353865,318
2963504,12500,4374746,318
2976004,12500,4391624,318
2988504,12500,4404311,317
3001004,12500,4413116,317
3013508,12504,4418393,317
3026008,12500,4420985,317
3038508,12500,4422973,316
3051012,12504,4425151,316
3063512,12500,4419417,316
3076012,12500,4404765,316
3088512,12500,4377557,315
3101012,12500,4334399,315
3113512,12500,4273598,315
3126016,12504,4195590,315
3138516,12500,4103234,314
3151020,12504,3998482,314
3163520,12500,3763292,314
3176020,12500,3635881,314
3188520,12500,3505228,314
3201028,12508,3373736,314
3213528,12500,3244068,314
3226028,12500,3117779,314
3238528,12500,2997304,313
3251028,12500,2886648,313
3263528,12500,2700876,313
3276028,12500,2622082,313
3288528,12500,2550475,312
3301028,12500,2488759,312
3313532,12504,2439267,312
3326036,12504,2397521,312
3338536,12500,2358109,312
3351036,12500,2321383,311
3363536,12500,2282422,312
3376036,12500,2279453,311
3388540,12504,2282708,311
3401040,12500,2291679,311
3413540,12500,2301824,311
3426044,12504,2306050,311
3438548,12504,2303431,310
3451048,12500,2303361,310
3463552,12504,2315747,310
3476052,12500,2357384,310
3488552,12500,2371681,310
3501052,12500,2381339,309
3513552,12500,2387919,309
3526052,12500,2390577,309
3538552,12500,2387664,309
3551056,12504,2379923,309
3563556,12500,2369348,309
3576060,12504,2347992,309
3588564,12504,2341375,308
3601064,12500,2338518,308
3613564,12500,2339049,308
3626064,12500,2341948,308
3638568,12504,2345567,308
3651068,12500,2349209,308
3663572,12504,2352397,308
3676072,12500,2354834,308
3688576,12504,2356478,307
3701076,12500,2357377,307
3713576,12500,2358851,307
3726076,12500,2360777,307
3738580,12504,2363428,307
3751080,12500,2366760,307
3763580,12500,2370067,307
3776084,12504,2373372,307
3788584,12500,2379898,306
3801084,12500,2382986,306
3813584,12500,2387246,306
3826088,12504,2393282,306
3838588,12500,2400809,306
3851088,12500,2409358,305
3863588,12500,2418340,306
3876092,12504,2428303,306
3888592,12500,2441362,305
3901092,12500,2478008,305
3913592,12500,2503141,305
3926096,12504,2536057,305
3938596,12500,2574600,305
3951096,12500,2613804,304
3963596,12500,2652297,305
3976096,12500,2693668,305
3988600,12504,2741234,304
4001100,12500,2854878,304
4013600,12500,2918243,304
4026104,12504,2979623,304
4038604,12500,3036439,304
4051104,12500,3087499,303
4063604,12500,3132551,304
4076104,12500,3173718,304
4088604,12500,3214872,303
4101104,12500,3259046,303
4113604,12500,3364901,303
4126108,12504,3419689,303
4138608,12500,3471306,303
4151108,12500,3519457,302
4163608,12500,3566315,303
4176108,12500,3615722,303
4188608,12500,3671259,302
4201108,12500,3732165,302
4213608,12500,3843353,302
4226108,12500,3887570,302
4238608,12500,3926090,302
4251108,12500,3961592,301
4263608,12500,3997420,302
4276108,12500,4035982,302
4288608,12500,4077665,301
4301112,12504,4120881,301
4313612,12500,4166083,301
4326112,12500,4264075,301
4338612,12500,4313295,301
4351116,12504,4362396,300
4363620,12504,4410352,301
4376120,12500,4453856,301
4388620,12500,4490119,301
4401120,12500,4518500,300
4413620,12500,4541388,300
4426120,12500,4577238,301
4438624,12504,4589506,300
4451124,12500,4596783,300
4463624,12500,4599774,300
4476124,12500,4600141,300
4488624,12500,4597431,300
4501124,12500,4591129,299
4513624,12500,4580736,299
4526124,12500,4538044,300
4538624,12500,4500255,299
4551124,12500,4447483,299
4563624,12500,4379043,299
4576128,12504,4294283,299
4588628,12500,4193572,299
4601128,12500,4079447,299
4613628,12500,3953254,299
4626128,12500,3818406,299
4638628,12500,3539499,299
4651128,12500,3398711,299
4663628,12500,3259027,299
4676132,12504,3124007,299
4688632,12500,2997186,299
4701132,12500,2880699,298
4713636,12504,2777165,298
4726136,12500,2687077,299
4738636,12500,2542765,298
4751140,12504,2471649,298
4763640,12500,2405646,298
4776140,12500,2355032,298
4788644,12504,2320757,298
4801144,12500,2298907,298
4813644,12500,2287085,298
4826144,12500,2282559,298
4838644,12500,2279188,298
4851148,12504,2273320,298
4863648,12500,2278817,298
4876148,12500,2290971,298
4888652,12504,2306147,298
4901152,12500,2322293,297
4913656,12504,2338299,297
4926160,12504,2351895,298
4938664,12504,2361419,297
4951164,12500,2369791,297
4963664,12500,2370539,297
4976164,12500,2369412,297
4988664,12500,2365915,297
5001164,12500,2360756,297
5013668,12504,2355362,297
5026168,12500,2350907,297
5038668,12500,2347426,297
5051168,12500,2345506,297
5063668,12500,2345054,297
5076168,12500,2345910,297
5088668,12500,2345938,297
5101168,12500,2345008,296
5113668,12500,2343817,296
5126168,12500,2343258,297
5138668,12500,2343679,296
5151168,12500,2344523,296
5163668,12500,2343913,296
5176172,12504,2341307,296
5188676,12504,2337481,296
5201176,12500,2333834,296
5213676,12500,2330949,296
5226180,12504,2329499,296
5238680,12500,2329398,296
5251184,12504,2329471,296
5263688,12504,2329133,296
5276188,12500,2327238,296
5288688,12500,2326194,296
5301188,12500,2325551,295
5313688,12500,2326165,295
5326188,12500,2327433,296
5338688,12500,2328706,296
5351188,12500,2329694,295
5363688,12500,2330475,295
5376188,12500,2331241,295
5388688,12500,2331539,295
5401192,12504,2331977,295
5413692,12500,2332367,295
5426192,12500,2331585,295
5438692,12500,2330077,295
5451196,12504,2329024,295
5463700,12504,2328660,295
5476200,12500,2328640,295
5488700,12500,2329360,295
5501200,12500,2329437,294
5513704,12504,2329043,294
5526208,12504,2328167,295
5538708,12500,2326932,295
5551212,12504,2326104,294
5563712,12500,2325702,294
5576212,12500,2325014,294
5588712,12500,2323539,294
5601212,12500,2323360,294
5613712,12500,2323258,294
5626216,12504,2323222,294
5638716,12500,2323205,294
5651216,12500,2322599,294
5663716,12500,2321614,294
5676216,12500,2320818,294
5688716,12500,2320176,294
5701216,12500,2319660,294
5713720,12504,2319184,294
5726220,12500,2318269,294
5738720,12500,2317387,294
5751224,12504,2316627,294
5763728,12504,2316046,294
5776232,12504,2315785,294
5788732,12500,2315906,294
5801232,12500,2315658,294
5813732,12500,2315085,294
5826232,12500,2314797,294
5838732,12500,2314796,294
5851232,12500,2314898,294
5863736,12504,2314925,294
5876236,12500,2315224,294
5888740,12504,2315987,294
5901240,12500,2318118,294
5913740,12500,2319059,294
5926240,12500,2319441,294
5938740,12500,2319478,294
5951240,12500,2319581,294
5963744,12504,2319381,294
5976244,12500,2318799,294
5988748,12504,2318147,294
6001248,12500,2317620,293
6013752,12504,2315845,293
6026252,12500,2315205,294
6038752,12500,2314860,294
6051252,12500,2315236,293
6063756,12504,2316137,293
6076256,12500,2317508,294
6088756,12500,2318911,294
6101256,12500,2319743,293
6113756,12500,2319386,293
6126260,12504,2319145,293
6138760,12500,2318635,293
6151260,12500,2318366,293
6163760,12500,2319141,293
6176260,12500,2319952,293
6188760,12500,2320569,293
6201260,12500,2321418,293
6213760,12500,2321722,293
6226260,12500,2320364,293
6238760,12500,2319331,293
6251260,12500,2318297,293
6263760,12500,2317462,293
6276264,12504,2316173,293
6288764,12500,2315034,293
6301264,12500,2314306,293
6313764,12500,2313672,293
6326264,12500,2313049,293
6338764,12500,2312394,293
6351264,12500,2311912,293
6363764,12500,2311996,293
6376264,12500,2312793,293
6388764,12500,2314247,293
6401264,12500,2316770,293
6413764,12500,2320311,293
6426268,12504,2324416,293
6438768,12500,2337181,293
6451268,12500,2345816,293
6463768,12500,2355603,293
6476268,12500,2366418,293
6488768,12500,2379167,293
6501268,12500,2396342,293
6513768,12500,2419808,293
6526268,12500,2448186,293
6538768,12500,2509283,293
6551268,12500,2537706,293
6563768,12500,2565284,292
6576268,12500,2592447,293
6588768,12500,2618813,293
6601272,12504,2643640,292
6613776,12504,2667891,292
6626280,12504,2694905,292
6638780,12500,2726955,292
6651284,12504,2803919,292
6663784,12500,2848532,292
6676284,12500,2896090,292
6688784,12500,2945925,292
6701284,12500,2996987,292
6713784,12500,3049743,292
6726284,12500,3105002,292
6738784,12500,3162505,292
6751284,12500,3280915,292
6763788,12504,3339608,291
6776292,12504,3394993,292
6788792,12500,3444579,292
6801292,12500,3487443,292
6813792,12500,3523260,291
6826296,12504,3554059,292
6838796,12500,3581554,292
6851296,12500,3607660,292
6863796,12500,3664394,291
6876300,12504,3699055,292
6888800,12500,3739110,292
