Times (us),interval (us),strain (raw),sensorValue0 (raw)
67024,67024,-6021286,422
79524,12500,-6025119,418
92024,12500,-6021469,416
104524,12500,-6024120,414
117024,12500,-6023406,414
129524,12500,-6017637,413
142028,12504,-6017511,412
154528,12500,-6018044,410
167028,12500,-6017247,410
179528,12500,-6022947,409
192028,12500,-6025647,408
204528,12500,-6030141,407
217028,12500,-6023142,406
229528,12500,-6022971,406
242032,12504,-6028417,405
254536,12504,-6028285,403
267040,12504,-6027122,403
279540,12500,-6014794,402
292040,12500,-6010199,401
304540,12500,-6024380,400
317040,12500,-6026642,399
329540,12500,-6002060,399
342044,12504,-6002032,398
354544,12500,-6018634,397
367044,12500,-6032655,396
379548,12504,-6031368,396
392052,12504,-6028930,395
404552,12500,-6033841,394
417052,12500,-6033571,393
429552,12500,-6027439,393
442056,12504,-6025253,392
454560,12504,-6026092,391
467064,12504,-6030995,390
479564,12500,-6039879,390
492068,12504,-6037553,389
504568,12500,-6031880,388
517072,12504,-6029594,387
529572,12500,-6031448,387
542072,12500,-6032491,386
554576,12504,-6033965,385
567076,12500,-6032891,384
579576,12500,-6033966,384
592076,12500,-6045877,383
604580,12504,-6052194,382
617084,12504,-6047278,381
629584,12500,-6035810,381
642084,12500,-6029193,380
654584,12500,-6032049,379
667084,12500,-6036719,378
679584,12500,-6040460,378
692088,12504,-6032536,377
704592,12504,-6033245,376
717096,12504,-6035947,375
729600,12504,-6031845,375
742104,12504,-6023019,374
754604,12500,-6022472,373
767104,12500,-6017982,372
779604,12500,-6017067,372
792104,12500,-6025839,372
804608,12504,-6039728,371
817108,12500,-6040507,370
829608,12500,-6040726,370
842108,12500,-6025575,369
854608,12500,-6029748,368
867108,12500,-6032524,367
879608,12500,-6029604,367
892112,12504,-6028234,367
904616,12504,-6022883,365
917116,12500,-6025080,365
929616,12500,-6033753,365
942120,12504,-6036773,364
954620,12500,-6042306,363
967120,12500,-6045513,362
979620,12500,-6052310,362
992124,12504,-6049737,362
1004624,12500,-6042195,361
1017128,12504,-6037566,360
1029628,12500,-6039553,360
1042132,12504,-6035438,359
1054632,12500,-6033621,358
1067136,12504,-6039849,358
1079636,12500,-6045366,357
1092136,12500,-6054268,357
1104640,12504,-6055343,356
1117144,12504,-6056429,355
1129644,12500,-6053430,355
1142144,12500,-6050691,355
1154644,12500,-6044915,354
1167148,12504,-6042253,353
1179656,12508,-6044050,353
1192156,12500,-6054460,353
1204656,12500,-6062464,352
1217160,12504,-189271,351
1240052,22892,-6068666,351
1252556,12504,-6068686,350
1265056,12500,-6058886,349
1277560,12504,-6050405,349
1290060,12500,-6063021,348
1302560,12500,-6068819,347
1315060,12500,-6072657,347
1327564,12504,-6074721,347
1340068,12504,-6068836,346
1352568,12500,-6063320,345
1365072,12504,-6062438,345
1377572,12500,-6064664,345
1390072,12500,-6064322,344
1402576,12504,-6066808,343
1415076,12500,-6070561,343
1427576,12500,-6073712,343
1440076,12500,-6077924,342
1452576,12500,-6074789,341
1465076,12500,-6075668,341
1477580,12504,-6078149,341
1490080,12500,-6082409,340
1502584,12504,-6083660,339
1515084,12500,-6080812,339
1527584,12500,-6075713,339
1540084,12500,-6070798,338
1552584,12500,-6068423,337
1565084,12500,-6068755,337
1577584,12500,-6068243,337
1590084,12500,-6064438,336
1602584,12500,-6060978,335
1615084,12500,-6055769,335
1627588,12504,-6063203,335
1640088,12500,-6067352,335
1652592,12504,-6067158,334
1665092,12500,-6079419,333
1677596,12504,-6090498,334
1690096,12500,-6090244,333
1702600,12504,-6092402,332
1715100,12500,-6092279,332
1727600,12500,-6084265,332
1740100,12500,-6077695,331
1752604,12504,-6071683,330
1765104,12500,-6075572,330
1777608,12504,-6081144,330
1790108,12500,-6070016,330
1802608,12500,-6063780,329
1815108,12500,-6074682,328
1827612,12504,-6079135,329
1840116,12504,-6074152,328
1852620,12504,-6065447,327
1865124,12504,-6060440,327
1877628,12504,-6059547,327
1890128,12500,-6069338,327
1902632,12504,-6067112,326
1915132,12500,-6064262,325
1927636,12504,-6061718,326
1940136,12500,-6057412,325
1952636,12500,-6065568,324
1965140,12504,-6079795,324
1977640,12500,-6083276,324
1990140,12500,-6079281,324
2002644,12504,-6074846,323
2015148,12504,-6069128,322
2027652,12504,-6061737,323
2040152,12500,-6057539,322
2052656,12504,-6064750,321
2065160,12504,-6064873,321
2077664,12504,-6062232,321
2090164,12500,-6061286,321
2102664,12500,-6067994,320
2115164,12500,-6079433,320
2127668,12504,-6081183,320
2140168,12500,-6093876,320
2152668,12500,-6077955,319
2165168,12500,-6068031,318
2177668,12500,-6065261,318
2190168,12500,-6065945,318
2202668,12500,-6074028,317
2215172,12504,-6077359,317
2227672,12500,-6075078,317
2240176,12504,-6070951,317
2252676,12500,-6072717,316
2265176,12500,-6074390,316
2277680,12504,-6078086,316
2290184,12504,-6083736,316
2302688,12504,-6082680,315
2315188,12500,-6079634,314
2327688,12500,-6076606,315
2340188,12500,-6070812,315
2352688,12500,-6068784,314
2365192,12504,-6079871,313
2377696,12504,-6092760,314
2390200,12504,-6084603,314
2402700,12500,-6077517,313
2415204,12504,-6073479,312
2427704,12500,-6067261,313
2440204,12500,-6062861,313
2452708,12504,-6065229,312
2465208,12500,-6070236,311
2477708,12500,-6072728,312
2490208,12500,-6078414,312
2502708,12500,-6078514,311
2515208,12500,-6072479,310
2527708,12500,-6060504,311
2540208,12500,-6063912,311
2552712,12504,-6065227,310
2565212,12500,-6061384,309
2577712,12500,-6056868,310
2590212,12500,-6055417,310
2602712,12500,-6055668,309
2615212,12500,-6058397,308
2627712,12500,-6063811,309
2640212,12500,-6065719,309
2652712,12500,-6061251,308
2665212,12500,-6059627,308
2677712,12500,-6059092,308
2690216,12504,-6058038,308
2702716,12500,-6062395,307
2715216,12500,-6070039,307
2727720,12504,-6072104,307
2740220,12500,-6065609,307
2752724,12504,-6061434,306
2765224,12500,-6055666,306
2777724,12500,-6052065,306
2790228,12504,-6059295,306
2802728,12500,-6055125,305
2815228,12500,-6050955,305
2827728,12500,-6046182,305
2840232,12504,-6046546,305
2852736,12504,-6051141,304
2865236,12500,-6053642,304
2877736,12500,-6059416,304
2890236,12500,-6057853,304
2902740,12504,-6052461,304
2915240,12500,-6047051,303
2927740,12500,-6063668,303
2940240,12500,-6090830,303
2952740,12500,-6092000,303
2965240,12500,-6086472,302
2977740,12500,-6079765,302
2990240,12500,-6068855,302
3002740,12500,-6065084,302
3015244,12504,-6070277,301
3027748,12504,-6074814,301
3040248,12500,-6072477,302
3052748,12500,-6069083,301
3065248,12500,-6065775,301
3077748,12500,-6067391,301
3090248,12500,-6069593,301
3102748,12500,-6066581,300
3115248,12500,-6073052,300
3127748,12500,-6076771,300
3140252,12504,-6081512,300
3152752,12500,-6079074,300
3165256,12504,-6077964,299
3177760,12504,-6076249,299
3190260,12500,-6074426,300
3202764,12504,-6074979,299
3215268,12504,-6072841,298
3227768,12500,-6074701,299
3240268,12500,-6072660,299
3252768,12500,-6072268,298
3265272,12504,-6075591,298
3277776,12504,-6088185,298
3290276,12500,-6085615,298
3302776,12500,-6080359,298
3315276,12500,-6075924,297
3327780,12504,-6074782,297
3340280,12500,-6078183,298
3352780,12500,-6082091,297
3365284,12504,-6081124,297
3377784,12500,-6075047,297
3390284,12500,-6072294,297
3402784,12500,-6070596,297
3415284,12500,-6070496,296
3427784,12500,-6078985,296
3440284,12500,-6072662,297
3452784,12500,-6062759,296
3465284,12500,-6059252,296
3477784,12500,-6055142,296
3490288,12504,-6059229,296
3502792,12504,-6065381,296
3515292,12500,-6069750,295
3527792,12500,-6073144,295
3540292,12500,-6076885,296
3552792,12500,-6073569,295
3565296,12504,-6071719,295
3577796,12500,-6073135,295
3590300,12504,-6075547,295
3602800,12500,-6074988,295
3615300,12500,-6088462,294
3627800,12500,-6085187,294
3640300,12500,-6066732,294
3652800,12500,-6057741,294
3665300,12500,-6065664,293
3677804,12504,-6060156,293
3690304,12500,-6057395,294
3702804,12500,-6055412,293
3715308,12504,-6051386,293
3727808,12500,-6058805,293
3740312,12504,-6061926,293
3752816,12504,-6052293,293
3765316,12500,-6050305,292
3777816,12500,-6055135,292
3790316,12500,-6049702,293
3802816,12500,-6049193,293
3815316,12500,-6049281,292
3827820,12504,-6048192,292
3840324,12504,-6046490,292
3852824,12500,-6055264,292
3865328,12504,-6061587,291
3877832,12504,-6041445,292
3890336,12504,-6024602,292
3902840,12504,-6026079,292
3915340,12500,-6029212,291
3927844,12504,-6033232,291
3940344,12500,-6027692,292
3952844,12500,-6028514,291
3965344,12500,-6029878,291
3977844,12500,-6030860,291
3990348,12504,-6035057,291
4002852,12504,-6040358,291
4015352,12500,-6059110,290
4027856,12504,-6066639,290
4040360,12504,-6063636,291
4052860,12500,-6070057,291
4065360,12500,-6080060,290
4077860,12500,-6074582,290
4090360,12500,-6066051,290
4102860,12500,-6066642,290
4115360,12500,-6062309,290
4127860,12500,-6057101,290
4140360,12500,-6060714,290
4152864,12504,-6065749,290
4165364,12500,-6071183,289
4177864,12500,-6076401,289
4190364,12500,-6070385,290
4202864,12500,-6062220,290
4215368,12504,-6062021,289
4227868,12500,-6068026,289
4240368,12500,-6072992,289
4252868,12500,-6077718,290
4265368,12500,-6075807,289
4277872,12504,-6071609,289
4290372,12500,-6071160,289
4302876,12504,-6068683,289
4315376,12500,-6067359,288
4327876,12500,-6066722,288
4340380,12504,-6070202,289
4352880,12500,-6079886,289
4365380,12500,-6082837,288
4377884,12504,-6088144,288
4390384,12500,-6087309,288
4402884,12500,-6090509,289
4415384,12500,-6082144,288
4427888,12504,-6078232,288
4440388,12500,-6083091,288
4452888,12500,-6082644,288
4465388,12500,-6078977,288
4477892,12504,-6078685,288
4490392,12500,-6076880,288
4502892,12500,-6074074,288
4515392,12500,-6072363,288
4527896,12504,-6064540,288
4540400,12504,-6062135,288
4552900,12500,-6064341,288
4565400,12500,-6077577,288
4577904,12504,-6077652,288
4590404,12500,-6079192,288
4602908,12504,-6080332,288
4615408,12500,-6086178,288
4627908,12500,-6075828,288
4640408,12500,-6070669,288
4652912,12504,-6078344,288
4665412,12500,-6082299,288
4677916,12504,-6080173,288
4690416,12500,-6074492,288
4702916,12500,-6051921,288
4715416,12500,-6057883,288
4727916,12500,-6073179,288
4740416,12500,-6079915,288
4752920,12504,-6084032,288
4765420,12500,-6079974,288
4777920,12500,-6077553,287
4790420,12500,-6079746,288
