Times (us),interval (us),strain (raw),sensorValue0 (raw)
3178616,12500,2397260,313
3191120,12504,2392141,312
3203620,12500,2386823,311
3216120,12500,2383104,312
3228620,12500,2381885,312
3241124,12504,2387894,311
3253624,12500,2392925,311
3266124,12500,2397489,311
3278624,12500,2400125,311
3291124,12500,2399922,311
3303624,12500,2397131,310
3316124,12500,2392389,310
3328624,12500,2387188,311
3341124,12500,2382228,310
3353628,12504,2383643,309
3366128,12500,2387471,309
3378628,12500,2392624,310
3391128,12500,2397276,309
3403632,12504,2399920,308
3416136,12504,2399958,309
3428636,12500,2397080,309
3441136,12500,2392387,308
3453636,12500,2383616,308
3466140,12504,2382165,308
3478640,12500,2383850,308
3491140,12500,2387885,308
3503640,12500,2392973,307
3516140,12500,2397358,307
3528640,12500,2399707,308
3541140,12500,2399541,307
3553640,12500,2392193,306
3566140,12500,2387400,307
3578644,12504,2383748,307
3591144,12500,2382664,306
3603648,12504,2384392,305
3616148,12500,2388087,306
3628648,12500,2392660,306
3641148,12500,2396893,306
3653648,12500,2399283,305
3666148,12500,2396373,305
3678648,12500,2392087,306
3691148,12500,2387397,305
3703648,12500,2384005,305
3716148,12500,2382770,305
3728652,12504,2384280,305
3741152,12500,2388027,305
3753652,12500,2392714,304
3766152,12500,2399152,304
3778656,12504,2398773,304
3791160,12504,2396088,304
3803660,12500,2391925,303
3816160,12500,2387390,303
3828664,12504,2384114,304
3841168,12504,2383126,303
3853668,12500,2384742,303
3866172,12504,2388251,303
3878672,12500,2396628,304
3891172,12500,2398698,303
3903676,12504,2398276,302
3916180,12504,2395838,302
3928680,12500,2391777,303
3941180,12500,2387526,302
3953680,12500,2384557,302
3966180,12500,2383721,302
3978680,12500,2388241,302
3991180,12500,2392315,302
4003680,12500,2395910,301
4016180,12500,2398131,301
4028680,12500,2397991,302
4041184,12504,2395681,301
4053684,12500,2392054,301
4066184,12500,2388304,301
4078688,12504,2385347,302
4091188,12500,2385155,301
4103688,12500,2387848,300
4116188,12500,2391695,300
4128688,12500,2395350,301
4141192,12504,2397537,301
4153692,12500,2397703,300
4166192,12500,2395920,300
4178692,12500,2392502,301
4191192,12500,2385543,300
4203696,12504,2384195,300
4216196,12500,2385025,300
4228696,12500,2387778,300
