Times (us),interval (us),strain (raw),sensorValue0 (raw)
67032,67032,-5978670,422
79532,12500,-5986222,418
92032,12500,-5989083,416
104532,12500,-5990539,415
117036,12504,-5988206,414
129536,12500,-5987354,413
142036,12500,-5991832,411
154540,12504,-5992752,411
167040,12500,-5992878,410
179540,12500,-5994324,409
192040,12500,-5997222,408
204544,12504,-5998052,407
217044,12500,-5995148,407
229544,12500,-5992132,406
242044,12500,-5992648,404
254544,12500,-5989814,404
267044,12500,-5989242,403
279544,12500,-5992293,402
292044,12500,-5993164,401
304544,12500,-5993678,400
317044,12500,-5994643,400
329548,12504,-5996312,399
342048,12500,-5993677,398
354552,12504,-5991273,397
367056,12504,-5993156,397
379556,12500,-5991524,396
392056,12500,-5988927,395
404556,12500,-5984331,394
417056,12500,-5975885,394
429556,12500,-5971409,393
442056,12500,-5971931,392
454556,12500,-5975326,391
467056,12500,-5975547,391
479556,12500,-5975434,390
492056,12500,-5975999,389
504556,12500,-5974326,388
517056,12500,-5975384,388
529556,12500,-5978268,387
542060,12504,-5981339,386
554560,12500,-5982389,385
567060,12500,-5980669,385
579560,12500,-5984656,384
592060,12500,-5983915,383
604560,12500,-5978938,382
617060,12500,-5968175,382
629560,12500,-5966215,381
642060,12500,-5984170,380
654560,12500,-6003935,379
667060,12500,-6001517,379
679564,12504,-5988230,378
692064,12500,-5977363,377
704568,12504,-5974421,377
717072,12504,-6008544,376
729576,12504,-6011938,376
742076,12500,-6003289,374
754580,12504,-5994821,374
767084,12504,-5993019,374
779584,12500,-6005288,373
792084,12500,-6019189,372
804584,12500,-6014423,371
817084,12500,-6005463,371
829584,12500,-6001974,370
842084,12500,-6020154,369
854584,12500,-6023181,368
867084,12500,-6019059,368
879584,12500,-6003382,368
892084,12500,-5985476,367
904584,12500,-5983566,366
917084,12500,-5994779,366
929584,12500,-5998315,365
942088,12504,-5989565,364
954588,12500,-5970944,363
967088,12500,-5964636,363
979588,12500,-5982072,363
992088,12500,-5994315,362
1004588,12500,-5990705,361
1017088,12500,-5980610,361
1029588,12500,-5973798,360
1042088,12500,-5976729,359
1054588,12500,-5988647,359
1067088,12500,-5993816,359
1079588,12500,-5990057,358
1092088,12500,-5995615,357
1104592,12504,-6002363,356
1117092,12500,-6009212,356
1129592,12500,-6008169,356
1142092,12500,-6001435,355
1154596,12504,-5993125,354
1167096,12500,-5993527,354
1179596,12500,-6001909,354
1192096,12500,-6006061,353
1204600,12504,-6001520,352
1217100,12500,-5995246,352
1229600,12500,-5987270,352
1242100,12500,-5991706,351
1254600,12500,-5996200,350
1267100,12500,-5994317,350
1279604,12504,-5986577,350
1292104,12500,-5983177,349
1304604,12500,-5991956,348
1317104,12500,-6001256,348
1329604,12500,-6003124,348
1342108,12504,-6000156,347
1354612,12504,-5989644,346
1367116,12504,-5986435,346
1379616,12500,-5989694,346
1392116,12500,-5992002,345
1404620,12504,-5991381,344
1417124,12504,-5991150,344
1429624,12500,-5988155,344
1442124,12500,-5997242,343
1454624,12500,-6008742,342
1467124,12500,-6009846,342
1479624,12500,-5992771,342
1492124,12500,-5993735,341
1504624,12500,-6000222,340
1517124,12500,-6004877,340
1529624,12500,-6004861,340
1542128,12504,-5998533,339
1554632,12504,-5992797,338
1567132,12500,-5991853,338
1579636,12504,-5991907,338
1592140,12504,-5995087,337
1604640,12500,-5992839,336
1617140,12500,-5984187,336
1629640,12500,-5987184,336
1642140,12500,-5991344,335
1654640,12500,-5994111,334
1667140,12500,-5988597,334
1679640,12500,-5983948,334
1692140,12500,-5985757,333
1704640,12500,-5992886,333
1717140,12500,-6000567,333
1729640,12500,-6002966,333
1742140,12500,-5995702,332
1754640,12500,-5993815,331
1767140,12500,-5997987,331
1779644,12504,-6001916,331
1792144,12500,-6001400,330
1804644,12500,-5992753,329
1817144,12500,-5985768,329
1829644,12500,-5986291,329
1842148,12504,-5992996,328
1854648,12500,-5998917,328
1867152,12504,-5992146,328
1879656,12504,-5985713,328
1892156,12500,-5985800,327
1904660,12504,-5999777,326
1917164,12504,-6007314,326
1929664,12500,-5997141,326
1942164,12500,-5987475,325
1954664,12500,-5984629,324
1967164,12500,-5988769,324
1979664,12500,-5996183,324
1992164,12500,-6002745,324
2004668,12504,-6001773,323
2017168,12500,-5992985,323
2029668,12500,-5990679,323
2042168,12500,-6002105,322
2054668,12500,-6001803,321
2067168,12500,-5998088,321
2079672,12504,-5993305,321
