Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,270,267,263
1520,270,267,263
1524,270,266,263
1528,270,266,262
1532,270,267,263
1536,269,267,263
1540,269,266,263
1544,269,265,262
1548,268,265,262
1552,269,266,262
1556,269,266,262
1560,269,265,262
1564,269,267,263
1568,270,267,264
1572,270,267,263
1576,270,266,263
1580,270,267,263
1584,270,267,264
1588,269,267,263
1592,269,266,262
1596,269,265,262
1600,269,266,263
1604,269,266,262
1608,269,266,262
1612,269,266,262
1616,269,266,263
1620,270,267,263
1624,269,266,263
1628,270,266,262
1632,269,266,263
1636,268,266,263
1640,269,265,262
1644,269,265,262
1648,268,266,262
1652,269,267,263
1656,269,266,262
1660,269,265,262
1664,269,266,262
1668,270,267,263
1672,270,267,263
1676,270,266,263
1680,270,266,263
1684,269,267,263
1688,269,266,263
1692,269,266,262
1696,268,266,262
1700,269,266,263
1704,269,266,263
1708,269,265,262
1712,269,265,262
1716,269,266,263
1720,269,266,263
1724,269,266,262
1728,270,266,262
1732,270,267,263
1736,270,267,263
1740,270,266,263
1744,269,266,262
1748,269,266,263
1752,269,266,263
1756,270,266,262
1760,269,265,261
1764,269,265,262
1768,269,266,263
1772,269,266,262
1776,269,265,261
1780,269,266,262
1784,270,267,263
1788,270,267,263
1792,270,266,262
1796,270,266,262
1800,270,267,263
1804,270,267,263
1808,269,266,262
1812,269,266,262
1816,269,266,262
1820,269,266,263
1824,269,265,262
1828,269,265,262
1832,270,266,263
1836,270,266,263
1840,270,266,262
1844,269,266,262
1848,270,267,263
1852,270,267,263
1856,269,266,263
1860,269,265,262
1864,269,266,262
1868,269,267,263
1872,269,266,262
1876,269,265,262
1880,269,265,262
1884,269,266,263
1888,269,266,263
1892,269,265,262
1896,270,266,262
1900,270,267,263
1904,269,267,263
1908,269,266,262
1912,269,266,262
1916,269,267,263
1920,269,266,263
1924,269,266,262
1928,269,265,262
1932,269,266,263
1936,269,267,263
1940,269,266,262
1944,269,266,262
1948,269,266,263
1952,269,267,263
1956,269,266,262
1960,269,265,262
1964,269,266,262
1968,269,267,263
1972,269,266,263
1976,269,266,262
1980,269,266,263
1984,270,267,263
1988,270,267,263
1992,270,266,262
1996,270,266,262
2000,269,267,263
2004,269,266,263
2008,269,265,262
2012,269,265,262
2016,269,266,263
2020,269,266,263
2024,270,266,262
2028,270,266,262
2032,270,267,263
2036,270,266,263
2040,269,265,262
2044,268,265,262
2048,269,266,262
2052,269,266,263
2056,268,265,262
2060,269,265,261
2064,269,266,262
2068,270,267,263
2072,270,267,263
2076,270,266,262
2080,270,267,263
2084,270,267,264
2088,270,266,263
2092,269,266,262
2096,269,266,262
2100,269,266,263
2104,270,267,263
2108,280,272,267
2112,283,278,272
2116,286,282,276
2120,280,277,274
2124,275,273,271
2128,267,267,266
2132,264,264,262
2136,261,259,257
2140,261,257,255
2144,259,257,254
2148,261,258,255
2152,262,258,254
2156,265,260,256
2160,266,263,258
2164,268,265,261
2168,269,265,261
2172,270,266,261
2176,271,267,263
2180,272,269,265
2184,272,269,265
2188,272,268,264
2192,271,268,265
2196,271,268,265
2200,270,267,264
2204,270,266,262
2208,271,267,263
2212,271,269,265
2216,272,269,265
2220,273,269,265
2224,273,269,265
2228,272,270,267
2232,270,268,265
2236,267,265,262
2240,266,263,260
2244,265,263,260
2248,265,263,260
2252,267,262,259
2256,268,264,260
2260,271,267,263
2264,271,268,264
2268,272,268,264
2272,272,267,264
2276,271,268,265
2280,269,268,265
2284,269,265,262
2288,268,264,261
2292,268,265,262
2296,268,266,263
2300,271,266,262
2304,272,267,263
2308,273,270,265
2312,274,272,268
2316,274,271,267
2320,274,270,266
2324,273,270,266
2328,271,270,267
2332,271,268,265
2336,269,265,262
2340,267,264,261
2344,266,264,261
2348,265,263,260
2352,264,261,258
2356,265,261,258
2360,265,263,259
2364,266,263,260
2368,267,263,259
2372,269,265,260
2376,271,268,263
2380,272,270,265
2384,273,269,265
2388,273,269,265
2392,272,270,266
2396,272,270,267
2400,272,268,265
2404,271,267,264
2408,270,267,264
2412,270,268,265
