Times (us),interval (us),strain (raw),sensorValue0 (raw)
67020,67020,-6368945,423
79524,12504,-6365044,420
92024,12500,-6358298,417
104524,12500,-6353291,414
117024,12500,-6358759,414
129528,12504,-6371220,415
142028,12500,-6377989,413
154532,12504,-6372859,410
167032,12500,-6365635,410
179532,12500,-6363420,411
192032,12500,-6371761,409
204536,12504,-6377582,406
217036,12500,-6370303,407
229536,12500,-6368571,407
242040,12504,-6376280,405
254540,12500,-6382704,403
267040,12500,-6377004,403
279540,12500,-6365437,404
292044,12504,-6362496,402
304544,12500,-6367639,400
317044,12500,-6369910,400
329548,12504,-6364533,401
342052,12504,-6368261,399
354552,12500,-6377427,397
367052,12500,-6383543,397
379552,12500,-6380395,398
392052,12500,-6369541,396
404556,12504,-6377681,394
417056,12500,-6389222,394
429556,12500,-6388224,395
442056,12500,-6375429,393
454556,12500,-6361398,391
467056,12500,-6367352,391
479556,12500,-6373826,392
492056,12500,-6369022,390
504556,12500,-6362266,388
517056,12500,-6364227,388
529560,12504,-6369109,389
542064,12504,-6361145,388
554564,12500,-6355050,385
567064,12500,-6359196,385
579564,12500,-6381143,386
592064,12500,-6384902,385
604568,12504,-6378587,382
617068,12500,-6365831,382
629572,12504,-6360854,383
642072,12500,-6360011,382
654576,12504,-6363351,379
667076,12500,-6365018,379
679580,12504,-6362163,380
692080,12500,-6359013,379
704584,12504,-6378256,377
717088,12504,-6374620,376
729588,12500,-6366680,378
742088,12500,-6366415,377
754588,12500,-6371918,374
767088,12500,-6374924,374
779588,12500,-6369505,375
792088,12500,-6365435,374
804592,12504,-6362048,371
817092,12500,-6364713,371
829592,12500,-6371362,372
842096,12504,-6359273,371
854596,12500,-6359053,369
867096,12500,-6366289,368
879600,12504,-6376821,370
892100,12500,-6377654,369
904600,12500,-6370142,366
917104,12504,-6368387,366
929608,12504,-6376014,367
942112,12504,-6379152,367
954612,12500,-6370934,364
967112,12500,-6366375,363
979612,12500,-6373493,365
992112,12500,-6376940,364
1004612,12500,-6374324,362
1017112,12500,-6364362,361
1029616,12504,-6361857,362
1042116,12500,-6371471,362
1054620,12504,-6376398,359
1067120,12500,-6375831,358
1079620,12500,-6366931,360
1092120,12500,-6368219,359
1104620,12500,-6374447,357
1117124,12504,-6380808,356
1129624,12500,-6380454,357
1142124,12500,-6381688,357
1154624,12500,-6387696,355
1167128,12504,-6392324,354
1179632,12504,-6393136,355
1192132,12500,-6388907,355
1204636,12504,-6387288,353
1217136,12500,-6399738,352
1229636,12500,-6397273,353
1242140,12504,-6390454,353
1254640,12500,-6386083,351
1267140,12500,-6390786,350
1279640,12500,-6397566,351
1292144,12504,-6394694,351
1304644,12500,-6385527,349
1317144,12500,-6384302,348
1329648,12504,-6390685,349
1342148,12500,-6396239,349
1354648,12500,-6388586,347
1367152,12504,-6372050,346
1379656,12504,-6367773,347
1392156,12500,-6374464,347
1404660,12504,-6386200,345
1417164,12504,-6386452,344
1429664,12500,-6381106,345
1442164,12500,-6380552,345
1454664,12500,-6381631,343
1467164,12500,-6383080,342
1479664,12500,-6372180,343
1492164,12500,-6370602,343
1504664,12500,-6378419,341
1517164,12500,-6384350,340
1529664,12500,-6374646,341
1542168,12504,-6370290,342
1554668,12500,-6374551,340
1567168,12500,-6382582,338
1579672,12504,-6388659,339
1592172,12500,-6375205,340
1604672,12500,-6364914,338
1617172,12500,-6367742,336
1629672,12500,-6374795,337
