Times (us),interval (us),strain (raw),sensorValue0 (raw)
2803524,12504,2527573,318
2816028,12504,2523925,318
2828528,12500,2521774,319
2841028,12500,2519861,318
2853532,12504,2518564,317
2866032,12500,2517966,317
2878536,12504,2518209,318
2891036,12500,2519232,317
2903536,12500,2520791,316
2916036,12500,2522843,316
2928536,12500,2526677,316
2941036,12500,2527906,316
2953536,12500,2528546,315
2966040,12504,2528397,315
2978540,12500,2527444,315
2991044,12504,2526099,315
3003548,12504,2524386,314
3016052,12504,2522205,314
3028552,12500,2518932,314
3041052,12500,2518345,314
3053552,12500,2518424,313
3066052,12500,2519169,313
3078556,12504,2520776,313
3091056,12500,2522627,313
3103556,12500,2524290,312
3116056,12500,2526079,312
3128556,12500,2527391,313
3141056,12500,2528207,312
3153560,12504,2527492,312
3166060,12500,2526185,312
3178560,12500,2524629,312
3191060,12500,2522715,312
3203560,12500,2520912,311
3216064,12504,2519533,311
3228564,12500,2518742,311
3241068,12504,2519245,311
3253568,12500,2520600,310
3266068,12500,2522308,310
3278568,12500,2524197,310
3291068,12500,2525850,310
3303572,12504,2527251,309
3316072,12500,2528045,309
3328572,12500,2528047,310
3341076,12504,2527447,309
3353580,12504,2524791,309
3366084,12504,2523075,308
3378584,12500,2521439,309
3391088,12504,2520081,309
3403592,12504,2519275,308
3416092,12500,2518980,308
3428596,12504,2519486,308
3441096,12500,2520528,308
3453596,12500,2523948,307
3466096,12500,2525641,307
3478596,12500,2526937,307
3491096,12500,2527609,307
3503596,12500,2527831,307
3516096,12500,2527363,306
3528596,12500,2526282,307
3541096,12500,2525036,307
3553600,12504,2523498,306
3566104,12504,2520689,306
3578604,12500,2519904,306
3591108,12504,2519452,306
3603608,12500,2519709,305
3616112,12504,2520827,305
3628612,12500,2522111,305
3641112,12500,2523432,305
3653612,12500,2525104,305
3666116,12504,2527383,304
3678616,12500,2527560,305
3691116,12500,2527301,305
3703616,12500,2526598,304
3716116,12500,2525493,304
3728616,12500,2524131,304
3741116,12500,2522471,304
3753616,12500,2520837,304
3766116,12500,2519491,303
3778616,12500,2519764,304
3791116,12500,2520410,304
3803616,12500,2521582,303
3816116,12500,2523326,303
3828620,12504,2524756,303
3841120,12500,2525986,303
3853620,12500,2526995,303
3866120,12500,2527364,302
3878620,12500,2526646,303
3891120,12500,2525408,303
3903620,12500,2523900,302
3916120,12500,2522421,302
3928620,12500,2521082,302
3941120,12500,2520196,302
3953620,12500,2519856,302
3966124,12504,2519905,301
3978628,12504,2521631,302
3991128,12500,2523077,302
4003628,12500,2524535,301
4016136,12508,2525729,301
4028640,12504,2526579,301
4041140,12500,2526868,302
4053640,12500,2526812,301
4066140,12500,2526358,301
4078644,12504,2525412,301
4091144,12500,2522800,301
4103644,12500,2521467,301
4116144,12500,2520446,300
4128648,12504,2519787,300
4141152,12504,2519771,301
4153656,12504,2520299,300
4166160,12504,2521195,300
4178660,12500,2522659,300
4191160,12500,2525629,300
4203660,12500,2526833,300
4216160,12500,2527426,299
4228664,12504,2527251,300
4241164,12500,2526595,300
4253668,12504,2525649,299
4266168,12500,2524217,299
4278668,12500,2522776,299
4291168,12500,2521614,300
4303668,12500,2519958,299
4316168,12500,2519921,298
4328668,12500,2520319,299
4341172,12504,2521126,299
4353672,12500,2522202,299
4366172,12500,2523599,298
4378672,12500,2524878,298
4391172,12500,2526035,299
4403672,12500,2526960,298
4416172,12500,2526624,298
4428672,12500,2525825,298
4441172,12500,2524650,299
4453672,12500,2523329,298
4466172,12500,2522039,298
4478676,12504,2521020,298
4491176,12500,2520458,298
4503676,12500,2520234,298
4516176,12500,2521306,297
4528680,12504,2522501,297
4541180,12500,2523855,298
4553680,12500,2524838,297
4566184,12504,2525895,297
4578684,12500,2526528,297
4591184,12500,2526641,298
4603684,12500,2526313,297
4616184,12500,2524549,297
4628684,12500,2523374,297
4641184,12500,2522187,297
4653688,12504,2521257,297
4666188,12500,2520667,296
4678688,12500,2520455,296
4691192,12504,2520652,297
4703692,12500,2521278,297
4716192,12500,2522435,296
4728692,12500,2524702,296
4741192,12500,2525744,297
4753692,12500,2526267,296
4766192,12500,2526450,296
4778692,12500,2526130,296
4791192,12500,2525366,296
4803696,12504,2524506,296
4816196,12500,2523544,296
4828696,12500,2521234,296
4841200,12504,2520573,296
4853700,12500,2520344,296
4866200,12500,2520564,295
4878704,12504,2521185,295
4891208,12504,2522175,296
4903708,12500,2523423,296
4916208,12500,2524656,295
4928708,12500,2525507,295
4941208,12500,2526609,296
4953712,12504,2526428,296
4966216,12504,2525778,295
4978716,12500,2524905,295
4991220,12504,2523630,295
5003720,12500,2522412,295
5016220,12500,2521430,294
5028720,12500,2520697,294
5041224,12504,2520504,295
5053724,12500,2521035,295
5066224,12500,2522016,294
5078724,12500,2523107,294
5091224,12500,2524356,295
5103724,12500,2525302,295
5116224,12500,2526040,294
5128724,12500,2526394,294
5141224,12500,2526007,294
5153724,12500,2525223,294
5166224,12500,2524000,294
5178728,12504,2522853,294
5191232,12504,2521846,294
5203736,12504,2521065,294
5216236,12500,2520696,293
5228740,12504,2520555,293
5241244,12504,2520984,294
5253744,12500,2522888,294
5266248,12504,2524002,293
5278752,12504,2525008,293
5291252,12500,2525679,294
5303756,12504,2526179,294
5316256,12500,2526146,293
5328760,12504,2525761,293
5341260,12500,2525082,293
5353764,12504,2523159,294
5366264,12500,2522119,293
5378768,12504,2521333,293
5391268,12500,2520911,293
5403768,12500,2520950,293
5416272,12504,2521310,293
5428772,12500,2521960,293
5441272,12500,2522762,293
5453772,12500,2523861,294
5466272,12500,2525593,293
5478776,12504,2525905,293
5491280,12504,2525938,293
5503780,12500,2525606,293
5516280,12500,2524875,293
5528784,12504,2524042,292
5541284,12500,2523141,293
5553784,12500,2522248,293
5566284,12500,2521200,292
5578784,12500,2521121,292
5591284,12500,2521433,293
5603784,12500,2522295,293
5616288,12504,2523872,292
5628792,12504,2525295,292
5641292,12500,2525642,292
5653792,12500,2525501,293
5666292,12500,2525393,292
5678792,12500,2523960,292
5691292,12500,2523192,292
5703792,12500,2522600,293
5716292,12500,2522004,292
5728792,12500,2521805,292
5741292,12500,2521949,292
5753792,12500,2521875,293
5766292,12500,2522052,292
5778796,12504,2523244,292
5791296,12500,2523961,292
5803796,12500,2524717,293
5816296,12500,2525406,292
5828796,12500,2525734,292
5841296,12500,2525457,292
5853796,12500,2524834,292
5866296,12500,2524348,292
5878796,12500,2523522,292
5891296,12500,2522171,292
5903796,12500,2521870,292
5916300,12504,2521513,292
5928800,12500,2521549,291
5941300,12500,2521872,292
5953800,12500,2522334,292
5966300,12500,2523021,292
5978800,12500,2523960,291
5991304,12504,2525261,292
6003804,12500,2525455,292
6016304,12500,2525404,292
6028804,12500,2524930,291
6041308,12504,2524191,291
6053812,12504,2523500,292
6066312,12500,2522884,291
6078816,12504,2522413,291
6091316,12500,2521988,291
6103816,12500,2521742,292
6116316,12500,2521944,292
6128816,12500,2522525,291
6141316,12500,2523184,291
6153816,12500,2523977,292
6166316,12500,2524675,292
6178820,12504,2525125,291
6191320,12500,2525353,291
6203820,12500,2524946,292
6216324,12504,2524315,291
6228824,12500,2523656,291
6241328,12504,2523060,291
6253828,12500,2522488,292
6266328,12500,2521999,291
6278828,12500,2521867,291
6291328,12500,2521885,291
6303828,12500,2521972,292
6316328,12500,2523037,291
6328832,12504,2523850,291
6341332,12500,2524404,291
6353832,12500,2524755,292
6366332,12500,2524918,291
6378832,12500,2525020,291
6391332,12500,2524693,291
6403832,12500,2523864,291
6416332,12500,2523590,291
6428836,12504,2523608,290
6441340,12504,2522324,290
6453840,12500,2521138,291
6466344,12504,2521729,291
6478852,12508,2523042,290
6491356,12504,2523176,290
6503856,12500,2522534,291
6516356,12500,2523767,291
6528856,12500,2524314,290
6541356,12500,2524426,290
6553856,12500,2524329,291
6566356,12500,2524623,291
6578860,12504,2525216,290
6591360,12500,2524659,290
6603860,12500,2523155,291
6616360,12500,2522185,291
6628860,12500,2521889,290
6641360,12500,2521757,290
6653860,12500,2521830,291
6666360,12500,2522500,291
6678860,12500,2523216,290
6691364,12504,2523597,290
6703864,12500,2523950,291
6716368,12504,2524459,291
6728868,12500,2524752,290
6741372,12504,2524687,290
6753872,12500,2524175,291
6766372,12500,2523505,291
6778872,12500,2522958,290
6791372,12500,2522344,290
6803872,12500,2522027,291
6816372,12500,2521959,291
6828876,12504,2522062,290
6841380,12504,2522664,290
6853880,12500,2523169,291
6866380,12500,2523418,291
6878880,12500,2523703,290
6891380,12500,2524081,290
6903880,12500,2524292,291
6916384,12504,2524437,291
6928884,12500,2524398,290
6941388,12504,2524029,290
6953888,12500,2523429,291
6966388,12500,2522906,291
6978888,12500,2522581,290
6991388,12500,2522333,290
7003888,12500,2522130,291
7016388,12500,2522128,291
7028892,12504,2522538,290
7041392,12500,2523236,290
7053892,12500,2524180,290
7066392,12500,2524499,291
7078892,12500,2524661,290
7091392,12500,2524684,290
7103892,12500,2524611,290
7116392,12500,2524575,290
7128892,12500,2524176,290
7141392,12500,2523770,290
7153896,12504,2522875,290
7166396,12500,2522658,290
7178896,12500,2522557,290
7191396,12500,2522970,290
7203900,12504,2523824,290
7216400,12500,2524193,290
7228900,12500,2523938,290
7241400,12500,2523903,290
7253900,12500,2524286,290
7266400,12500,2523257,290
7278900,12500,2523208,290
7291400,12500,2523219,290
7303900,12500,2523294,290
7316400,12500,2523411,290
7328900,12500,2523537,290
7341400,12500,2523537,289
7353900,12500,2523492,290
7366400,12500,2523576,290
7378900,12500,2523680,290
7391400,12500,2523882,289
7403900,12500,2523919,290
7416400,12500,2523869,290
7428900,12500,2523702,290
7441400,12500,2523685,289
7453904,12504,2523497,290
7466408,12504,2523221,290
7478908,12500,2523148,290
7491408,12500,2523323,289
7503912,12504,2523445,290
7516412,12500,2523562,290
7528912,12500,2523658,290
7541412,12500,2523835,289
7553912,12500,2523816,290
7566412,12500,2523883,290
7578912,12500,2523754,290
7591412,12500,2523811,289
7603916,12504,2523909,290
7616420,12504,2523769,290
7628920,12500,2523391,289
7641424,12504,2523340,289
7653924,12500,2523389,290
7666428,12504,2523301,290
7678928,12500,2523446,289
7691428,12500,2523417,289
7703928,12500,2523677,289
7716428,12500,2523890,290
7728928,12500,2523869,289
7741428,12500,2523749,289
7753928,12500,2523748,289
7766428,12500,2523794,290
7778928,12500,2523709,289
7791432,12504,2523475,289
7803932,12500,2523495,289
7816432,12500,2523362,290
7828932,12500,2523219,289
7841432,12500,2523334,289
7853932,12500,2523357,289
7866432,12500,2523339,290
7878932,12500,2523446,289
7891432,12500,-445419,288
7913916,22484,2523798,289
7926420,12504,2523733,289
7938924,12504,2523765,289
7951428,12504,2523650,290
7963932,12504,2523571,290
7976432,12500,2523589,289
7988932,12500,2523580,289
8001432,12500,2523398,290
8013932,12500,2523273,290
8026432,12500,2523553,289
8038932,12500,2523737,289
8051432,12500,2523627,290
8063936,12504,2523237,290
8076436,12500,2523334,289
8088936,12500,2523528,289
8101436,12500,2523406,290
8113936,12500,2523170,290
8126440,12504,2523549,289
8138940,12500,2523682,289
8151440,12500,2523682,290
8163940,12500,2523517,290
8176444,12504,2523440,289
8188944,12500,2523641,289
8201448,12504,2523622,290
8213948,12500,2523235,290
8226448,12500,2522996,289
8238952,12504,2523741,289
8251452,12500,2523797,290
8263952,12500,2523158,290
8276452,12500,2522793,289
8288952,12500,2523123,289
8301456,12504,2523590,290
8313956,12500,2523755,290
8326460,12504,2523652,289
8338960,12500,2523977,289
8351460,12500,2524151,290
8363960,12500,2523719,290
8376460,12500,2523124,289
8388960,12500,2523046,289
8401460,12500,2523122,290
8413960,12500,2523032,290
8426460,12500,2522950,289
8438964,12504,2522962,289
8451464,12500,2523400,290
8463964,12500,2523430,290
8476468,12504,2523228,289
8488972,12504,2523516,289
8501472,12500,2523773,289
8513972,12500,2523831,290
8526476,12504,2523722,289
8538980,12504,2523604,289
8551480,12500,2524058,289
8563980,12500,2524018,290
8576480,12500,2523217,289
8588984,12504,2522546,289
8601484,12500,2522528,289
8613988,12504,2522709,290
8626488,12500,2522928,289
8638988,12500,2522997,289
8651488,12500,2523122,289
8663988,12500,2524012,290
8676488,12500,2524007,289
8688992,12504,2523855,289
8701496,12504,2523707,289
8713996,12500,2523622,290
8726496,12500,2523546,289
8738996,12500,2523559,289
8751496,12500,2523341,289
8763996,12500,2522905,290
8776496,12500,2522657,289
8789000,12504,2522693,289
8801500,12500,2522680,289
8814000,12500,2522725,290
8826500,12500,2523020,289
8839004,12504,2523291,289
8851508,12504,2523667,289
8864008,12500,2523838,290
8876508,12500,2523815,289
8889008,12500,2523677,289
8901508,12500,2523621,289
8914008,12500,2523584,290
8926508,12500,2523455,289
8939012,12504,2523284,289
8951512,12500,2523080,289
8964012,12500,2523004,290
8976516,12504,2522873,289
8989016,12500,2523026,289
9001516,12500,2522988,289
9014016,12500,2523019,290
9026516,12500,2523317,289
9039016,12500,2523612,289
9051520,12504,2523760,289
9064024,12504,2523806,290
9076524,12500,-445428,289
9099004,22480,2523331,289
9111504,12500,2523286,290
9124008,12504,2523131,289
9136508,12500,2523001,289
9149008,12500,2522943,290
9161508,12500,2522842,290
9174008,12500,2522800,289
9186512,12504,2522920,289
9199012,12500,2523062,290
9211512,12500,2523491,290
9224016,12504,2523532,289
9236516,12500,2523578,289
9249016,12500,2523725,289
9261516,12500,2523679,290
9274020,12504,2523641,289
9286520,12500,2523466,289
9299020,12500,2523422,290
9311520,12500,2523061,290
9324024,12504,2522741,289
9336524,12500,2522641,289
9349028,12504,2522651,290
9361532,12504,2522899,290
9374032,12500,2523077,289
9386536,12504,2523199,289
9399040,12504,2523618,290
9411540,12500,2523858,289
9424040,12500,2523871,289
9436540,12500,2523925,289
9449040,12500,2523947,289
9461544,12504,2523652,290
9474044,12500,2523007,289
9486544,12500,2522365,289
9499044,12500,2521888,290
9511544,12500,2521588,290
9524044,12500,2521542,289
9536544,12500,2522098,289
9549044,12500,2522673,289
9561544,12500,2522359,290
9574044,12500,2521300,289
9586548,12504,2519622,289
9599048,12500,2517367,289
9611548,12500,2515153,290
9624048,12500,2513149,289
9636548,12500,2510117,289
9649048,12500,2508624,289
9661552,12504,2506964,289
9674056,12504,2505111,289
9686556,12500,2503290,289
9699056,12500,2500767,289
9711556,12500,2496169,289
9724056,12500,2488790,289
9736560,12504,2464032,289
9749064,12504,2446297,289
9761568,12504,2424096,290
9774072,12504,2397950,289
9786572,12500,2369057,289
9799072,12500,2337222,289
