Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,36,34,38
1520,185,140,104
1524,384,306,237
1528,535,461,383
1532,619,566,500
1536,644,617,573
1540,649,635,610
1544,509,545,562
1548,348,406,455
1552,141,222,298
1556,44,105,172
1560,17,48,94
1564,8,24,52
1568,9,18,32
1572,114,85,67
1576,298,231,175
1580,407,350,288
1584,566,496,423
1588,630,585,526
1592,652,628,589
1596,555,574,574
1600,422,466,498
1604,227,299,363
1608,79,151,222
1612,27,69,124
1616,11,33,67
1620,7,19,39
1624,37,34,38
1628,174,130,98
1632,327,264,206
1636,508,429,352
1640,585,534,469
1644,635,601,552
1648,575,579,565
1652,481,508,523
1656,302,363,414
1660,149,215,280
1664,64,113,170
1668,22,54,97
1672,10,28,55
1676,21,28,40
1680,114,88,72
1684,265,208,161
1688,416,349,283
1692,543,480,411
1696,604,562,507
1700,598,583,552
1704,509,529,532
1708,414,447,472
1712,254,311,363
1716,111,173,235
1720,36,83,137
1724,14,40,77
1728,11,24,45
1732,69,56,53
1736,208,160,123
1740,341,282,227
1744,487,421,353
1748,554,510,453
1752,586,559,519
1756,551,550,535
1760,456,482,496
1764,319,367,407
1768,174,232,289
1772,67,122,178
1776,23,58,103
1780,11,30,58
1784,46,43,50
1788,160,123,97
1792,238,201,164
1796,393,331,272
1800,481,431,374
1804,559,517,465
1808,546,533,506
1812,492,501,499
1816,369,407,434
1820,243,292,337
1824,114,170,225
1828,43,86,135
1832,16,41,76
1836,23,32,50
1840,87,71,64
1844,199,159,126
1848,316,265,216
1852,441,383,324
1856,509,468,416
1860,541,516,478
1864,498,500,488
1868,416,438,451
1872,292,336,371
1876,174,222,271
1880,98,137,182
1884,40,73,112
1888,28,46,71
1892,73,66,69
1896,149,123,104
1900,272,223,181
1904,378,327,276
1908,471,425,371
1912,514,483,442
1916,505,495,473
1920,466,472,468
1924,368,398,418
1928,257,298,336
1932,145,191,238
1936,73,112,155
1940,39,65,98
1944,61,65,78
1948,122,103,94
1952,219,182,151
1956,332,283,237
1960,425,379,328
1964,478,444,401
1968,498,478,448
1972,479,476,463
1976,399,420,431
1980,304,337,365
1984,192,235,277
1988,111,150,192
1992,60,91,127
1996,58,70,91
2000,106,94,93
2004,181,153,132
2008,260,225,192
2012,357,314,270
2016,439,397,351
2020,480,451,414
2024,476,466,445
2028,426,435,435
2032,340,366,386
2036,239,276,310
2040,149,188,228
2044,88,120,157
2048,67,84,110
2052,87,86,95
2056,134,119,111
2060,223,189,161
2064,313,272,232
2068,402,358,313
2072,453,421,382
2076,470,453,425
2080,439,440,431
2084,372,390,400
2088,279,311,338
2092,209,239,270
2096,134,165,199
2100,87,113,142
2104,85,95,112
2108,124,115,114
2112,190,165,146
2116,281,243,208
2120,361,322,281
2124,426,392,352
2128,455,433,402
2132,441,435,420
2136,411,415,414
2140,331,355,371
2144,250,280,308
2148,164,198,233
2152,115,141,171
2156,94,110,131
2160,115,113,120
2164,165,148,137
2168,246,214,186
