Times (us),interval (us),strain (raw),sensorValue0 (raw)
65804,65804,8388607,426
78304,12500,8388607,423
90804,12500,8388607,422
103304,12500,8388607,420
115804,12500,8388607,420
128304,12500,8388607,419
140804,12500,8388607,418
153304,12500,8388607,417
165808,12504,8388607,416
178312,12504,8388607,416
190812,12500,8388607,415
203312,12500,8388607,414
215816,12504,8388607,413
228316,12500,8388607,413
240816,12500,8388607,412
253316,12500,8388607,411
265816,12500,8388607,410
278316,12500,8388607,410
290820,12504,8388607,409
303320,12500,8388607,408
315820,12500,8388607,408
328320,12500,8388607,408
340820,12500,8388607,407
353320,12500,8388607,405
365820,12500,8388607,405
378324,12504,8388607,405
390828,12504,8388607,404
403328,12500,8388607,403
415828,12500,8388607,402
428328,12500,8388607,402
440828,12500,8388607,402
453328,12500,8388607,400
465832,12504,8388607,400
478332,12500,8388607,400
490836,12504,8388607,399
503336,12500,8388607,398
515836,12500,8388607,397
528336,12500,8388607,397
540836,12500,8388607,397
553336,12500,8388607,395
565836,12500,8388607,395
578340,12504,8388607,395
590844,12504,8388607,394
603344,12500,8388607,393
615848,12504,8388607,392
628352,12504,8388607,393
640852,12500,8388607,392
653352,12500,8388607,391
665852,12500,8388607,390
678356,12504,8388607,390
690856,12500,8388607,390
703356,12500,8388607,388
715856,12500,8388607,388
728360,12504,8388607,388
740860,12500,8388607,387
753364,12504,8388607,386
765864,12500,8388607,385
778368,12504,8388607,386
790868,12500,8388607,385
803372,12504,8388607,384
815876,12504,8388607,383
828376,12500,8388607,383
840880,12504,8388607,383
853384,12504,8388607,382
865884,12500,8388607,381
878384,12500,8388607,381
890888,12504,8388607,381
903392,12504,8388607,380
915896,12504,8388607,379
928396,12500,8388607,379
940896,12500,8388607,379
953396,12500,8388607,378
965896,12500,8388607,377
978400,12504,8388607,377
990900,12500,8388607,377
1003404,12504,8388607,376
1015904,12500,8388607,375
1028404,12500,8388607,375
1040904,12500,8388607,375
1053404,12500,8388607,374
1065904,12500,8388607,373
1078404,12500,8388607,373
1090904,12500,8388607,373
1103408,12504,8388607,372
1115912,12504,8388607,371
1128416,12504,8388607,371
1140916,12500,8388607,371
1153416,12500,8388607,370
1165916,12500,8388607,369
1178420,12504,8388607,369
1190920,12500,8388607,369
1203420,12500,8388607,368
1215920,12500,8388607,367
1228420,12500,8388607,367
1240920,12500,8388607,367
1253420,12500,8388607,366
1265920,12500,8388607,365
1278420,12500,8388607,365
1290920,12500,8388607,365
1303420,12500,8388607,364
1315924,12504,8388607,363
1328424,12500,8388607,363
1340924,12500,8388607,363
1353424,12500,8388607,362
1365924,12500,8388607,361
1378424,12500,8388607,361
1390928,12504,8388607,361
1403428,12500,8388607,360
1415928,12500,8388607,359
1428428,12500,8388607,359
1440928,12500,8388607,359
1453432,12504,8388607,358
1465932,12500,8388607,357
1478436,12504,8388607,357
1490936,12500,8388607,357
1503436,12500,8388607,356
1515940,12504,8388607,355
1528444,12504,8388607,356
1540944,12500,8388607,356
1553448,12504,8388607,355
1565948,12500,8388607,354
1578448,12500,8388607,354
1590952,12504,8388607,354
1603452,12500,8388607,353
1615952,12500,8388607,352
1628456,12504,8388607,352
1640960,12504,8388607,352
1653460,12500,8388607,351
1665960,12500,8388607,351
1678460,12500,8388607,351
1690960,12500,8388607,351
1703460,12500,8388607,350
1715964,12504,8388607,349
1728464,12500,8388607,349
1740968,12504,8388607,349
