Times (us),interval (us),strain (raw),sensorValue0 (raw)
2615156,12500,-5993864,308
2627656,12500,-5977496,308
2640160,12504,-5982627,308
2652660,12500,-6005531,308
2665160,12500,-6003628,307
2677660,12500,-6002340,307
2690164,12504,-5997232,307
2702664,12500,-5986327,307
2715164,12500,-5971358,306
2727668,12504,-5963254,306
2740172,12504,-5964469,306
2752672,12500,-5973437,306
2765172,12500,-5998411,305
2777672,12500,-6034870,305
2790172,12500,-6025968,305
2802672,12500,-6014261,305
2815172,12500,-6001641,304
2827676,12504,-5980433,304
2840176,12500,-5959556,304
2852676,12500,-5948733,304
2865180,12504,-5952795,303
2877684,12504,-5966743,303
2890184,12500,-5970415,304
2902684,12500,-6000653,303
2915188,12504,-6025140,302
2927688,12500,-6024082,302
2940188,12500,-6008371,303
2952688,12500,-6003487,302
2965192,12504,-6002288,302
2977692,12500,-5989174,302
2990196,12504,-5992977,302
3002700,12504,-6006406,302
3015204,12504,-6015803,301
3027704,12500,-6018904,301
3040204,12500,-6028920,301
3052704,12500,-6019513,301
3065208,12504,-6007834,300
3077708,12500,-6001689,300
3090212,12504,-5998367,300
3102716,12504,-5995452,300
3115220,12504,-6001895,299
3127720,12500,-6010455,299
3140220,12500,-6027033,299
3152724,12504,-6042953,299
3165224,12500,-6020202,299
3177728,12504,-6011078,298
3190228,12500,-6006631,299
3202728,12500,-6009219,299
3215232,12504,-6004743,298
3227732,12500,-6011357,298
3240236,12504,-6024966,298
3252736,12500,-6022916,298
3265236,12500,-6018808,297
3277740,12504,-6020661,297
3290240,12500,-6026073,298
3302740,12500,-6011466,297
3315244,12504,-6006826,297
3327744,12500,-6010474,297
3340244,12500,-6025048,297
3352744,12500,-6036864,297
3365248,12504,-6045249,296
3377748,12500,-6046063,296
3390252,12504,-6040127,296
3402760,12508,-6021550,296
3415260,12500,-5996759,296
3427764,12504,-5980225,296
3440268,12504,-5984073,296
3452772,12504,-6000064,296
3465276,12504,-6010826,295
3477780,12504,-6014035,295
3490280,12500,-6019319,295
3502784,12504,-6023133,295
3515284,12500,-6022851,295
3527784,12500,-6019620,294
3540284,12500,-6004988,295
3552784,12500,-6001915,295
3565284,12500,-6000466,294
3577784,12500,-6004714,294
3590284,12500,-6015714,294
3602784,12500,-6024424,294
3615284,12500,-6018515,293
3627784,12500,-5995003,293
3640284,12500,-5980357,294
3652784,12500,-5974388,294
3665284,12500,-5973046,293
3677784,12500,-6005741,293
3690284,12500,-6009420,293
3702784,12500,-6016171,293
3715284,12500,-6018887,293
3727788,12504,-6016622,292
3740288,12500,-6013455,293
3752788,12500,-6008631,293
3765288,12500,-5999872,292
3777792,12504,-5994814,292
3790292,12500,-5992502,292
3802792,12500,-5997842,292
3815292,12500,-6004608,292
3827796,12504,-6008324,291
3840296,12500,-6008834,292
3852796,12500,-6003666,292
3865296,12500,-6005706,291
3877800,12504,-5992011,291
3890300,12500,-5966386,291
3902804,12504,-5965052,291
3915304,12500,-5965458,291
3927804,12500,-6003883,291
3940308,12504,-6019514,291
3952808,12500,-6021266,291
3965308,12500,-6003417,291
3977808,12500,-5987507,290
3990312,12504,-5991478,291
4002812,12500,-5984721,291
4015312,12500,-5971515,290
4027812,12500,-5969064,290
4040312,12500,-5969753,290
4052816,12504,-6004094,290
4065316,12500,-6020378,290
4077820,12504,-6015811,289
4090320,12500,-6007193,290
4102820,12500,-5999067,290
4115324,12504,-5993621,290
4127824,12500,-5989425,289
4140324,12500,-5989212,290
4152824,12500,-5995576,290
4165324,12500,-6002621,289
4177828,12504,-6003259,289
4190332,12504,-6010983,289
4202832,12500,-5989704,289
4215332,12500,-5977388,289
4227832,12500,-5988386,289
4240332,12500,-5993918,289
4252836,12504,-5993087,289
4265336,12500,-5991433,289
4277840,12504,-5996446,288
4290340,12500,-6004859,289
4302840,12500,-6011387,289
4315340,12500,-6009403,288
4327840,12500,-6009713,288
4340344,12504,-6002577,288
4352844,12500,-5994007,289
4365348,12504,-5990661,288
4377848,12500,-5988114,288
4390352,12504,-5993317,288
4402852,12500,-6002647,288
4415352,12500,-6011858,288
4427856,12504,-6014851,288
4440356,12500,-6005114,288
4452856,12500,-5998953,288
4465356,12500,-5992164,288
4477860,12504,-5989453,288
4490360,12500,-5992957,288
4502860,12500,-5997075,288
4515360,12500,-6005944,288
4527860,12500,-6019254,288
4540360,12500,-6021501,288
4552864,12504,-6017078,288
4565364,12500,-5990466,288
4577864,12500,-5983659,288
4590364,12500,-5989093,288
4602864,12500,-5977741,288
4615368,12504,-5978758,288
4627868,12500,-5991734,287
4640368,12500,-5989195,288
4652868,12500,-5983917,288
4665368,12500,-5985226,288
4677868,12500,-5981691,287
4690368,12500,-5978657,288
4702868,12500,-5971089,288
4715368,12500,-5967667,288
4727868,12500,-5970939,287
4740368,12500,-5983158,287
4752868,12500,-5979372,288
4765372,12504,-5982345,288
4777872,12500,-5983630,287
4790372,12500,-5977350,287
4802876,12504,-5967458,288
4815376,12500,-5960548,288
4827876,12500,-5960713,287
4840376,12500,-5962281,287
4852876,12500,-5969928,287
4865376,12500,-5976576,287
4877876,12500,-5985496,287
4890376,12500,-5986460,287
4902876,12500,-5983653,287
4915376,12500,-5981380,287
4927876,12500,-5975389,286
4940376,12500,-5965775,286
4952876,12500,-5967760,287
4965384,12508,-5977438,287
4977884,12500,-5985168,286
4990384,12500,-5984329,286
5002888,12504,-5985387,287
5015388,12500,-5988094,286
5027888,12500,-5991021,286
5040392,12504,-5974789,286
5052892,12500,-5967128,286
5065392,12500,-5965271,286
5077892,12500,-5970720,286
5090396,12504,-5974432,286
5102900,12504,-5983886,286
5115400,12500,-5986221,286
5127900,12500,-5971071,285
5140400,12500,-5963489,285
5152900,12500,-5960338,286
5165400,12500,-5953223,286
5177900,12500,-5953423,285
5190400,12500,-5955853,285
5202900,12500,-5964176,286
5215400,12500,-5971700,285
5227900,12500,-5968264,285
5240400,12500,-5963464,285
5252900,12500,-5956934,285
5265400,12500,-5953188,285
5277904,12504,-5950027,285
5290404,12500,-5944005,285
5302908,12504,-5945794,285
5315412,12504,-5948934,285
5327912,12500,-5949845,285
5340412,12500,-5964833,284
5352912,12500,-5964282,285
5365412,12500,-5967447,285
5377916,12504,-5972248,284
5390416,12500,-5962676,284
5402920,12504,-5958178,285
5415424,12504,-5955843,285
5427924,12500,-5960941,284
5440428,12504,-5968555,284
5452932,12504,-5973049,285
5465432,12500,-5970979,285
5477932,12500,-5957154,284
5490432,12500,-5950328,284
5502932,12500,-5956134,284
5515432,12500,-5956699,284
5527932,12500,-5941914,284
5540432,12500,-5939727,284
5552932,12500,-5946961,284
5565432,12500,-5951522,284
5577932,12500,-5962271,284
5590436,12504,-5975488,284
5602940,12504,-5967887,284
5615440,12500,-5960882,284
5627940,12500,-5953531,284
5640440,12500,-5953201,284
5652940,12500,-5957048,284
5665440,12500,-5960578,284
5677944,12504,-5965621,284
5690444,12500,-5972980,284
5702944,12500,-5977434,284
5715448,12504,-5965054,284
5727948,12500,-5957239,284
5740448,12500,-5952631,283
5752948,12500,-5953568,284
5765452,12504,-5955789,284
5777952,12500,-5962184,284
5790456,12504,-5966589,283
5802956,12500,-5969540,284
5815456,12500,-5971110,284
5827956,12500,-5970717,284
5840460,12504,-5964885,283
5852960,12500,-5947280,284
5865460,12500,-5939772,284
5877960,12500,-5941474,284
5890460,12500,-5943658,284
5902960,12500,-5947739,284
5915460,12500,-5952736,284
5927960,12500,-5955834,284
5940460,12500,-5956345,283
5952960,12500,-5957627,284
5965464,12504,-5961557,284
5977964,12500,-5949387,284
5990464,12500,-5945871,283
6002964,12500,-5947715,284
6015468,12504,-5949162,284
6027968,12500,-5949648,283
6040468,12500,-5954835,283
6052968,12500,-5956400,284
6065472,12504,-5955500,284
6077972,12500,-5961620,283
6090472,12500,-5966560,283
6102976,12504,-5967842,283
6115480,12504,-5968497,284
6127980,12500,-5973544,283
6140480,12500,-5977811,283
6152984,12504,-5979294,283
6165488,12504,-5978743,283
6177988,12500,-5975966,283
6190492,12504,-5972438,283
6202992,12500,-5972442,283
6215496,12504,-5986559,283
6228000,12504,-5985086,283
6240504,12504,-5976364,282
6253008,12504,-5973702,283
6265508,12500,-5971991,283
6278008,12500,-5971639,283
6290508,12500,-5971950,283
6303008,12500,-5969610,283
6315508,12500,-5971231,283
6328008,12500,-5969815,283
6340508,12500,-5964313,282
6353008,12500,-5965807,283
6365508,12500,-5970752,283
6378008,12500,-5969679,283
6390512,12504,-5969740,282
6403016,12504,-5971122,283
6415516,12500,-5966592,283
6428016,12500,-5962259,283
6440516,12500,-5962069,282
6453016,12500,-5964514,282
6465520,12504,-5961032,283
6478020,12500,-5963080,282
6490520,12500,-5972289,282
6503024,12504,-5971196,282
6515528,12504,-5969770,283
6528028,12500,-5975316,282
6540528,12500,-5997263,282
6553032,12504,-6008554,282
6565536,12504,-5990789,282
6578036,12500,-5983014,282
6590536,12500,-5974991,282
6603036,12500,-5969230,282
6615540,12504,-5978330,282
6628040,12500,-5975489,282
6640544,12504,-5972798,282
6653044,12500,-5971700,282
6665544,12500,-5968005,282
6678044,12500,-5965403,282
6690544,12500,-5964845,282
6703044,12500,-5966084,282
6715544,12500,-5970266,282
6728044,12500,-5979804,282
6740544,12500,-5972604,282
6753044,12500,-5970256,282
6765544,12500,-5969243,282
6778044,12500,-5967089,282
6790544,12500,-5961828,282
6803048,12504,-5959519,282
6815548,12500,-5959788,282
6828048,12500,-5964001,282
6840548,12500,-5970812,282
6853048,12500,-5979817,282
6865552,12504,-5989222,282
6878052,12500,-5988573,282
6890552,12500,-5988531,282
6903052,12500,-5996260,282
6915552,12500,-5993421,282
6928052,12500,-5988221,282
6940552,12500,-5982598,282
6953056,12504,-5979474,282
6965556,12500,-5982434,282
6978060,12504,-5979469,282
6990560,12500,-5968770,282
7003064,12504,-5965025,282
7015564,12500,-5963294,282
7028064,12500,-5966208,282
7040564,12500,-5976597,282
7053068,12504,-5982270,282
7065568,12500,-5987012,282
7078068,12500,-5992457,282
7090572,12504,-5994764,282
7103072,12500,-5994133,282
7115572,12500,-5991338,282
7128072,12500,-5982438,282
7140572,12500,-5986469,282
7153072,12500,-5988392,282
7165572,12500,-5986887,282
