Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,269,265,262
1520,269,267,264
1524,268,266,263
1528,268,264,260
1532,267,263,260
1536,267,265,261
1540,267,265,262
1544,268,263,260
1548,268,263,260
1552,269,266,262
1556,269,267,263
1560,270,266,262
1564,270,266,262
1568,271,268,264
1572,271,269,265
1576,271,267,263
1580,270,265,262
1584,269,267,263
1588,270,268,264
1592,270,266,263
1596,269,265,261
1600,270,266,262
1604,270,268,264
1608,270,266,263
1612,270,265,261
1616,269,265,262
1620,269,267,264
1624,268,266,263
1628,267,263,260
1632,268,263,260
1636,268,266,262
1640,268,266,262
1644,269,264,261
1648,270,265,261
1652,271,269,264
1656,272,269,265
1660,272,268,264
1664,272,268,264
1668,271,269,265
1672,270,269,266
1676,269,266,263
1680,269,265,261
1684,269,266,263
1688,270,268,264
1692,270,267,263
1696,270,265,262
1700,269,266,263
1704,268,266,263
1708,267,264,261
1712,266,262,259
1716,266,262,259
1720,266,264,261
1724,266,263,260
1728,266,261,258
1732,266,262,258
1736,266,264,260
1740,266,263,260
1744,266,261,258
1748,267,263,259
1752,268,265,261
1756,269,267,263
1760,270,266,262
1764,271,267,262
1768,272,269,265
1772,270,268,265
1776,268,265,262
1780,266,263,260
1784,265,263,260
1788,264,263,260
1792,265,261,258
1796,265,260,257
1800,266,262,258
1804,266,264,260
1808,265,262,259
1812,264,260,256
1816,263,260,257
1820,260,260,257
1824,250,250,250
1828,229,231,234
1832,99,143,172
1836,122,128,142
1840,134,133,135
1844,310,252,211
1848,374,335,291
1852,515,456,398
1856,510,490,455
1860,530,514,490
1864,418,445,456
1868,338,369,395
1872,189,243,291
1876,111,152,198
1880,55,87,126
1884,37,57,83
1888,75,70,76
1892,143,119,103
1896,258,214,175
1900,357,311,263
1904,459,410,357
1908,491,462,423
1912,496,483,459
1916,430,444,445
1920,367,388,404
1924,261,297,330
1928,160,201,242
1932,89,125,165
1936,59,82,112
1940,77,79,92
1944,152,128,116
1948,228,195,167
1952,328,286,243
1956,407,365,321
1960,459,427,388
1964,475,457,430
1968,434,439,432
1972,386,399,407
1976,282,316,343
1980,208,239,272
1984,124,160,197
1988,99,119,145
1992,91,100,116
1996,151,133,127
2000,197,177,159
2004,305,263,226
2008,342,315,282
2012,416,382,346
2016,431,413,387
2020,432,423,408
2024,380,390,392
2028,317,337,353
2032,238,267,294
2036,172,200,230
2040,129,149,175
2044,116,127,143
2048,142,136,138
2052,166,157,149
2056,247,217,192
2060,300,272,242
2064,373,340,305
2068,400,379,351
2072,417,403,382
2076,388,389,383
2080,346,357,363
2084,276,299,318
2088,214,238,263
2092,174,192,214
2096,137,153,173
2100,138,143,152
2104,159,153,151
2108,211,191,176
2112,269,243,218
2116,336,305,274
2120,375,351,322
2124,401,382,359
2128,392,386,374
2132,362,368,367
2136,323,334,342
2140,261,281,299
2144,202,224,247
2148,160,180,201
2152,145,155,170
2156,152,152,157
2160,188,175,168
2164,241,219,200
2168,305,276,248
2172,351,325,296
2176,383,362,337
2180,393,381,363
2184,382,380,371
2188,343,352,355
2192,290,306,320
2196,228,250,272
2200,183,202,224
2204,153,167,185
2208,155,156,165
2212,172,166,164
2216,221,203,188
2220,258,239,220
2224,321,293,266
2228,360,337,310
2232,390,371,348
2236,383,377,364
2240,361,362,359
2244,308,322,332
2248,254,274,291
2252,197,220,242
2256,166,181,199
2260,155,161,173
2264,158,158,162
2268,195,182,174
2272,239,219,202
2276,301,273,247
2280,342,318,292
2284,379,358,333
2288,381,371,355
2292,368,366,359
2296,325,335,340
2300,275,292,306
2304,232,248,265
2308,188,205,223
2312,165,176,191
2316,161,165,173
2320,185,178,175
2324,224,208,195
2328,282,257,234
2332,325,302,277
2336,363,342,317
2340,375,362,343
2344,368,364,354
2348,347,350,348
2352,303,315,324
2356,252,269,285
2360,208,225,243
2364,178,192,208
2368,168,174,184
2372,180,176,177
2376,215,201,191
2380,261,240,222
2384,307,285,261
2388,347,325,300
2392,361,347,328
2396,370,360,346
2400,348,350,346
2404,318,325,329
2408,269,283,296
2412,227,243,259
2416,192,207,223
2420,176,184,196
2424,180,179,183
2428,206,196,190
2432,234,221,209
2436,280,260,240
2440,319,298,276
2444,349,331,309
2448,360,349,333
2452,351,348,340
2456,325,329,329
2460,289,299,306
2464,245,260,274
2468,209,223,238
2472,188,197,209
2476,182,185,192
2480,196,192,190
2484,222,211,202
2488,263,245,228
2492,301,281,261
2496,333,314,294
2500,350,336,319
2504,349,342,331
2508,331,332,329
2512,300,308,312
2516,264,276,286
2520,235,245,257
2524,207,216,228
2528,190,197,206
2532,196,195,197
2536,214,206,201
2540,248,232,220
2544,284,266,248
2548,317,299,280
2552,339,324,306
2556,344,335,322
2560,339,335,328
2564,317,320,320
2568,287,295,301
2572,252,263,273
2576,222,232,244
2580,201,209,219
2584,198,200,205
2588,208,203,202
2592,235,223,214
2596,269,253,238
