Times (us),interval (us),strain (raw),sensorValue0 (raw)
67020,67020,-6034106,422
79520,12500,-6033392,418
92024,12504,-6035048,416
104524,12500,-6041870,415
117028,12504,-6045941,414
129528,12500,-6041563,413
142028,12500,-6038336,412
154528,12500,-6037537,411
167028,12500,-6043421,410
179528,12500,-6045206,409
192028,12500,-6042722,408
204528,12500,-6044414,407
217028,12500,-6044077,406
229528,12500,-6043012,406
242028,12500,-6040474,405
254528,12500,-6042021,403
267028,12500,-6046071,403
279532,12504,-6045961,402
292032,12500,-6041173,401
304532,12500,-6038338,400
317032,12500,-6034327,400
329532,12500,-6035117,399
342032,12500,-6034966,398
354532,12500,-6034281,397
367036,12504,-6045241,396
379536,12500,-6043622,396
392036,12500,-6036700,395
404536,12500,-6034256,394
417036,12500,-6036678,393
429536,12500,-6040969,393
442036,12500,-6041817,392
454540,12504,-6064938,391
467040,12500,-6070825,390
479540,12500,-6073284,390
492044,12504,-6073919,389
504548,12504,-6079945,388
517048,12500,-6083432,387
529548,12500,-6075514,387
542052,12504,-6076899,386
554556,12504,-6078976,385
567056,12500,-6082085,384
579556,12500,-6078748,384
592056,12500,-6077496,383
604556,12500,-6084879,382
617056,12500,-6087447,381
629556,12500,-6084984,381
642056,12500,-6088092,380
654560,12504,-6087414,379
667064,12504,-6078131,378
679564,12500,-6076107,378
692064,12500,-6083551,377
704564,12500,-6085469,376
717064,12500,-6085545,375
729564,12500,-6092529,375
742068,12504,-6079000,374
754568,12500,-6066453,373
767068,12500,-6064600,373
779568,12500,-6062770,372
792068,12500,-6065909,372
804572,12504,-6065114,371
817072,12500,-6063236,370
829572,12500,-6065365,370
842072,12500,-6069531,369
854572,12500,-6066222,368
867072,12500,-6063162,367
879572,12500,-6068630,367
892076,12504,-6069356,367
904576,12500,-6072298,366
917076,12500,-6078424,365
929576,12500,-6081129,365
942076,12500,-6081171,364
954576,12500,-6070549,363
967076,12500,-6058505,363
979576,12500,-6061818,363
992076,12500,-6067805,362
1004576,12500,-6067612,361
1017076,12500,-6072203,360
1029576,12500,-6064520,360
1042080,12504,-6060219,359
1054580,12500,-6065139,358
1067080,12500,-6068726,358
1079584,12504,-6069250,358
1092084,12500,-6064904,357
1104584,12500,-6059428,356
1117084,12500,-6059478,356
1129584,12500,-6052355,356
1142084,12500,-6046011,355
1154584,12500,-6049514,354
1167084,12500,-6048011,354
1179584,12500,-6037490,354
1192084,12500,-6032525,353
1204588,12504,-6030928,352
1217088,12500,-6034047,352
1229588,12500,-6037125,351
1242092,12504,-6037656,351
1254596,12504,-6042363,350
1267096,12500,-6046439,349
1279596,12500,-6037555,349
1292096,12500,-6034750,349
1304596,12500,-6035408,348
1317096,12500,-6035695,347
1329600,12504,-6034420,347
1342104,12504,-6028397,347
1354604,12500,-6035358,346
1367104,12500,-6037642,345
1379604,12500,-6041188,345
1392104,12500,-6045225,345
1404604,12500,-6048490,344
1417104,12500,-6049699,343
1429608,12504,-6048747,343
1442108,12500,-6048037,343
1454608,12500,-6047155,342
1467108,12500,-6048412,341
1479608,12500,-6036385,341
1492108,12500,-6043098,341
1504612,12504,-6047821,340
1517112,12500,-6049530,339
1529612,12500,-6053608,339
1542112,12500,-6062627,339
