Times (us),interval (us),strain (raw),sensorValue0 (raw)
65796,65796,2271571,426
78296,12500,2271930,423
90800,12504,2269284,422
103300,12500,2267352,420
115800,12500,2268571,420
128300,12500,2271325,419
140804,12504,2271774,418
153304,12500,2269101,417
165804,12500,2266956,416
178304,12500,2271241,416
190804,12500,2271626,415
203304,12500,2268960,414
215804,12500,2267027,413
228304,12500,2268690,413
240804,12500,2271258,412
253308,12504,2271308,411
265812,12504,2268790,411
278312,12500,2268705,410
290812,12500,2271080,409
303316,12504,2270993,408
315816,12500,2268771,408
328316,12500,2267385,407
340816,12500,2268660,406
353320,12504,2270793,405
365820,12500,2270829,405
378320,12500,2268884,405
390820,12500,2268699,404
403324,12504,2271074,403
415828,12504,2271156,402
428328,12500,2268529,402
440828,12500,2266964,401
453328,12500,2268754,400
465832,12504,2271429,400
478332,12500,2270985,400
490832,12500,2267004,399
503332,12500,2269008,398
515832,12500,2271515,397
528332,12500,2270965,397
540832,12500,2268044,396
553336,12504,2266956,395
565840,12504,2269277,395
578340,12500,2271563,395
590840,12500,2270507,394
603344,12504,2266954,393
615848,12504,2269105,392
628348,12500,2271477,392
640848,12500,2270833,391
653348,12500,2267990,390
665848,12500,2266826,390
678348,12500,2268963,390
690852,12504,2271354,389
703356,12504,2267863,388
715856,12500,2266618,388
728356,12500,2268652,387
740860,12504,2271536,386
753364,12504,2271144,386
765864,12500,2268079,385
778364,12500,2266438,385
790864,12500,2268518,384
803364,12500,2271407,383
815868,12504,2267784,383
828368,12500,2266188,383
840872,12504,2268745,382
853376,12504,2271801,381
865880,12504,2270920,381
878380,12500,2267336,381
890884,12504,2266142,380
903384,12500,2269045,379
915888,12504,2270587,379
928388,12500,2267130,378
940888,12500,2266662,378
953388,12500,2269677,377
965888,12500,2271695,377
978388,12500,2270029,376
990888,12500,2267290,376
1003388,12500,2267173,375
1015888,12500,2271087,374
1028388,12500,2269898,374
1040892,12504,2267797,374
1053392,12500,2267601,373
1065892,12500,2269614,372
1078392,12500,2271022,372
1090892,12500,2270154,372
1103392,12500,2268122,371
1115892,12500,2267433,370
1128392,12500,2270780,370
1140892,12500,2270290,370
1153392,12500,2267647,369
1165892,12500,2266558,368
1178396,12504,2268736,368
1190896,12500,2271265,368
1203400,12504,2270862,367
1215900,12500,2267974,366
1228400,12500,2268393,366
1240904,12504,2271820,366
1253404,12500,2271299,365
1265904,12500,2267252,364
1278404,12500,2265845,364
1290908,12504,2269036,364
1303408,12500,2272044,363
1315908,12500,2270556,362
1328412,12504,2266934,362
1340912,12500,2269126,362
1353412,12500,2271651,361
1365912,12500,2270597,360
1378412,12500,2267441,360
1390912,12500,2266425,360
1403416,12504,2269049,359
1415920,12504,2271717,359
1428420,12500,2270605,359
1440924,12504,2266535,358
1453424,12500,2269249,357
1465924,12500,2271755,357
1478424,12500,2270517,357
1490924,12500,2267061,356
1503424,12500,2266292,356
1515924,12500,2269534,355
1528424,12500,2272003,355
1540924,12500,2270241,355
1553428,12504,2266310,354
1565928,12500,2269737,354
1578432,12504,2272349,354
1590932,12500,2269983,353
1603432,12500,2265768,352
1615932,12500,2265895,352
1628432,12500,2270157,352
1640932,12500,2272298,352
1653432,12500,2265848,351
1665932,12500,2266433,350
1678436,12504,2270194,350
1690936,12500,2271664,350
1703436,12500,2269543,349
1715940,12504,2269641,349
1728440,12500,2273919,348
1740940,12500,2276775,348
1753440,12500,2275154,347
1765940,12500,2268447,347
1778440,12500,2267309,347
1790940,12500,2268364,346
1803444,12504,2269928,346
1815948,12504,2270186,345
1828448,12500,2268472,345
1840948,12500,2267059,345
1853452,12504,2268313,344
1865952,12500,2270113,344
1878452,12500,2267951,344
1890952,12500,2267178,343
1903452,12500,2268768,343
1915952,12500,2270268,342
1928456,12504,2269463,342
1940956,12500,2267895,342
1953456,12500,2267600,341
1965956,12500,2268993,341
1978456,12500,2269637,341
1990960,12504,2268089,340
2003460,12500,2267232,340
2015960,12500,2268216,339
2028464,12504,2269654,339
2040964,12500,2269789,339
2053464,12500,2268242,338
2065968,12504,2266806,338
2078472,12504,2269998,338
2090972,12500,2270348,338
2103472,12500,2267894,337
2115972,12500,2265999,337
2128472,12500,2267656,337
2140972,12500,2270388,336
2153480,12508,2270212,336
2165984,12504,2267322,335
2178484,12500,2265869,335
2190984,12500,2270772,335
2203484,12500,2270148,334
2215984,12500,2267135,334
2228488,12504,2266063,334
2240988,12500,2268233,334
2253492,12504,2270351,333
2265992,12500,2269533,333
2278492,12500,2267263,333
2290992,12500,2268350,333
2303492,12500,2270043,332
2315992,12500,2269300,332
2328496,12504,2267252,332
2340996,12500,2266586,331
2353500,12504,2268132,331
2366004,12504,2269717,330
2378508,12504,2269325,330
2391008,12500,2266534,330
2403508,12500,2268068,330
2416008,12500,2269849,329
2428508,12500,2269529,329
2441008,12500,2267610,329
2453512,12504,2266805,329
2466016,12504,2268241,328
2478516,12500,2269800,328
2491016,12500,2269539,328
2503520,12504,2266867,327
2516020,12500,2268090,327
2528524,12504,2269887,327
2541028,12504,2269487,327
2553528,12500,2267373,326
2566028,12500,2266682,326
2578528,12500,2268419,326
2591028,12500,2269864,326
2603532,12504,2267294,325
2616036,12504,2266997,325
2628536,12500,2268874,325
2641036,12500,2270089,325
2653536,12500,2268600,324
2666036,12500,2266844,324
2678540,12504,2267436,324
2691040,12500,2269167,324
2703540,12500,2268996,323
2716044,12504,2267366,323
2728544,12500,2269469,323
2741048,12504,2270123,323
2753552,12504,2267884,322
2766052,12500,2266352,322
2778552,12500,2268105,322
2791052,12500,2270402,322
2803552,12500,2269614,321
2816056,12504,2266535,321
2828556,12500,2269227,321
2841056,12500,2270654,321
2853556,12500,2268460,320
2866060,12504,2265897,320
2878560,12500,2266720,320
2891060,12500,2269900,320
2903560,12500,2270937,319
2916060,12500,2268349,319
2928560,12500,2266585,319
2941060,12500,2269698,319
2953560,12500,2270608,318
2966060,12500,2268326,318
2978560,12500,2266151,318
2991060,12500,2266911,318
3003560,12500,2269718,317
3016064,12504,2270449,317
3028564,12500,2266062,317
3041064,12500,2267085,317
3053564,12500,2269539,317
3066064,12500,2270120,316
3078564,12500,2268183,316
3091064,12500,2266429,316
3103568,12504,2267284,316
3116072,12504,2269513,315
3128576,12504,2269953,315
3141080,12504,2266299,315
3153580,12500,2267294,315
3166080,12500,2269365,314
3178584,12504,2269799,314
3191084,12500,2267901,314
3203584,12500,2266237,314
3216084,12500,2266902,313
3228584,12500,2267894,313
3241084,12500,2267584,313
3253588,12504,2270533,313
3266088,12500,2271124,312
3278588,12500,2267324,312
3291088,12500,2264531,312
3303592,12504,2267151,312
3316092,12500,2271497,312
3328592,12500,2270567,312
3341092,12500,2264101,312
3353592,12500,2271798,312
3366092,12500,2280756,311
3378596,12504,2269335,311
3391100,12504,2252904,311
3403604,12504,2260544,311
3416104,12500,2282461,310
3428604,12500,2283605,310
3441104,12500,2261026,310
3453608,12504,2264224,310
3466108,12500,2286129,309
3478608,12500,2282085,309
3491112,12504,2258092,310
3503612,12500,2248627,309
3516112,12500,2266846,309
3528612,12500,2286093,308
3541116,12504,2279319,309
3553616,12500,2257483,309
3566116,12500,2267598,308
3578616,12500,2278613,308
3591116,12500,2274142,308
3603616,12500,2269043,308
3616116,12500,2266193,308
3628616,12500,2260710,308
3641120,12504,2262193,308
3653620,12500,2274645,308
3666120,12500,2266192,307
3678624,12504,2254737,307
3691128,12504,2263170,307
3703628,12500,2278948,307
3716128,12500,2278817,307
3728628,12500,2263344,307
3741128,12500,2254840,307
3753628,12500,2265496,307
3766128,12500,2278370,306
3778628,12500,2262537,306
3791128,12500,2255188,306
3803628,12500,2266650,306
3816128,12500,2279998,306
3828628,12500,2276380,306
3841128,12500,2261900,306
3853628,12500,2257162,306
3866128,12500,2267878,305
3878628,12500,2275032,305
3891128,12500,2262553,305
3903632,12504,2258619,305
3916132,12500,2267982,305
3928632,12500,2278434,305
3941132,12500,2275450,305
3953632,12500,2261289,305
3966136,12504,2255351,304
3978636,12500,2281665,304
3991136,12500,2276372,304
4003636,12500,2259424,304
4016140,12504,2255373,304
4028640,12500,2269705,304
4041144,12504,2281811,304
4053644,12500,2275286,304
4066144,12500,2259515,303
4078644,12500,2255874,303
4091144,12500,2280725,303
4103648,12504,2274365,303
4116152,12504,2259941,303
4128656,12504,2257922,303
4141156,12500,2270587,303
4153656,12500,2279632,303
4166156,12500,2272365,302
4178656,12500,2258719,302
4191160,12504,2269923,302
4203660,12500,2279869,302
