"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.200530417E-1,-3.010975753E0,-3.112863486E0,4.315420568E-1,4.352254888E0
6.300052917E-1,-2.396379009E0,-2.646633407E0,5.175224394E-1,3.607648849E0
6.399572917E-1,-1.837910565E0,-2.416988105E0,9.644368261E-1,3.185888438E0
6.499092916E-1,-1.697146449E0,-2.164583686E0,1.407228341E0,3.089663446E0
6.598622916E-1,-1.656710614E0,-2.061960958E0,1.520427513E0,3.050913449E0
6.698142916E-1,-1.379999612E0,-2.207103469E0,1.484939591E0,2.996789989E0
6.797662918E-1,-7.945450982E-1,-2.375581048E0,1.467456416E0,2.903121692E0
6.897182917E-1,-7.688211501E-2,-2.119013411E0,1.398783208E0,2.540221084E0
6.996712917E-1,5.598337689E-1,-1.418484231E0,1.365373387E0,2.046889310E0
7.096232917E-1,1.265105333E0,-5.840315938E-1,1.164322431E0,1.815827946E0
7.195752917E-1,1.780540608E0,2.543568045E-1,6.803333353E-1,1.922986139E0
7.295272917E-1,1.741795203E0,9.785338783E-1,1.400026618E-1,2.002743076E0
7.394802917E-1,1.421711017E0,1.397865195E0,-5.419841199E-1,2.066164588E0
7.494322917E-1,1.035446290E0,1.550486294E0,-1.283366772E0,2.263445833E0
7.593842917E-1,8.915024588E-1,1.688176528E0,-1.760465217E0,2.596912475E0
7.693372917E-1,9.298645788E-1,1.759618979E0,-1.913408936E0,2.760804383E0
7.792892917E-1,8.886273828E-1,1.785465426E0,-1.778105536E0,2.671929024E0
7.892412917E-1,9.855920523E-1,1.681070992E0,-1.337521929E0,2.363547394E0
7.991932917E-1,1.370477421E0,1.475986919E0,-5.595529564E-1,2.090417484E0
8.091462917E-1,2.007153252E0,1.117792336E0,3.222189315E-1,2.319902783E0
8.190982917E-1,2.610712792E0,6.315127391E-1,1.059875519E0,2.887553590E0
8.290502917E-1,2.734931918E0,3.808917207E-1,1.686538723E0,3.235636562E0
8.390022917E-1,2.515369263E0,2.545064932E-1,2.008029749E0,3.228628123E0
8.489552917E-1,2.322834777E0,3.879861474E-2,2.105304029E0,3.135182895E0
8.589072917E-1,2.462544055E0,-2.123211712E-1,1.672849222E0,2.984564963E0
8.688592917E-1,2.307674116E0,-4.733736223E-1,1.009510673E0,2.562919080E0
8.788112917E-1,1.748190596E0,-7.494066399E-1,4.012376557E-1,1.943906460E0
8.887642917E-1,1.186281942E0,-9.485066718E-1,-1.091107982E-1,1.522772117E0
8.987162916E-1,6.823346910E-1,-1.105303268E0,-1.206748549E-1,1.304545271E0
9.086682918E-1,2.912720311E-1,-9.879490650E-1,3.461323625E-1,1.086595768E0
9.186212918E-1,6.351742655E-2,-8.399490201E-1,7.243367028E-1,1.110951160E0
9.285732917E-1,-1.578485101E-1,-8.092347658E-1,7.664226222E-1,1.125691207E0
9.385252917E-1,-3.250186515E-1,-8.487151659E-1,2.760388831E-1,9.498168358E-1
9.484772917E-1,-3.534367043E-1,-1.109213886E0,-4.259088492E-1,1.239625466E0
9.584302917E-1,-3.140501520E-1,-1.552774310E0,-1.030192859E0,1.889717672E0
9.683822917E-1,-8.909852725E-1,-2.119998082E0,-1.463806000E0,2.725981406E0
9.783342917E-1,-1.434950575E0,-2.944410465E0,-1.604736761E0,3.647439679E0
9.882862917E-1,-1.451542342E0,-3.845687422E0,-1.243802757E0,4.294570085E0
9.982392917E-1,-1.258779522E0,-4.615773325E0,-4.642098294E-1,4.806805596E0
1.008191292E0,-5.648609126E-1,-5.218978524E0,-3.633631568E-2,5.249583318E0
1.018143292E0,3.671031091E-1,-5.149751583E0,-1.543431044E-2,5.162842655E0
1.028095292E0,8.354346773E-1,-4.575073196E0,1.220922017E-1,4.652327627E0
1.038048292E0,7.698142996E-1,-3.613471100E0,-4.413671333E-1,3.720832218E0
1.048000292E0,1.030903588E0,-1.750830613E0,-9.860300088E-1,2.258412102E0
1.057952292E0,1.473094009E0,-4.273086727E-2,-1.089293007E0,1.832591373E0
1.067904292E0,1.453031628E0,3.957570970E-1,-6.830815997E-1,1.653639944E0
1.077857292E0,2.009773097E0,4.851692689E0,3.962816653E-1,5.266417094E0
1.087809292E0,4.703080441E0,5.776047437E0,-6.812883317E-2,7.448914764E0
1.097761292E0,4.411863958E0,4.071720314E0,1.578105032E0,6.207565174E0
1.107714292E0,3.503873813E0,7.564022487E0,1.815514267E0,8.531568434E0
1.117666292E0,5.216785233E0,4.544249014E0,8.106650678E-1,6.965789626E0
1.127618292E0,4.682466082E0,2.183293022E0,-7.163897520E-1,5.215886435E0
1.137570292E0,3.446706755E0,8.484695828E-1,-2.888531549E0,4.576385320E0
1.147523292E0,3.557049562E0,3.947104454E-2,-4.041300175E0,5.383889547E0
1.157475292E0,4.256492329E0,-1.217148809E0,-3.541043394E0,5.669053403E0
1.167427292E0,3.991618137E0,3.702100271E-1,-3.670379126E0,5.435232631E0
1.177379292E0,3.370782999E0,1.062888150E0,-3.712021827E0,5.125525855E0
1.187332292E0,1.710613903E0,7.318369263E-1,-2.707133378E0,3.284867781E0
1.197284292E0,-8.417060354E-1,1.985778755E0,-1.981642435E0,2.928940602E0
1.207236292E0,-1.286643552E0,1.534332191E0,-1.009591949E-1,2.004948793E0
1.217188292E0,-8.905023656E-1,-9.571190357E-2,2.041562946E0,2.229379846E0
1.227141292E0,-8.960360974E-2,-1.455006525E0,2.865273664E0,3.214788634E0
1.237093292E0,-1.200648990E-1,-1.875625398E0,1.235780377E0,2.249341982E0
1.247045292E0,-9.785393601E-1,-1.468269179E0,-2.393126203E0,2.973282140E0
1.256997292E0,-7.880826824E-1,-1.546292671E0,-3.943846385E0,4.308830427E0
1.266950292E0,-1.239407989E-1,-1.287508940E0,-2.983118448E0,3.251466787E0
1.276902292E0,-3.294145882E-1,-7.222012997E-1,-7.631234770E-1,1.101111316E0
1.286854292E0,-3.089737456E-1,-5.608772045E-1,1.573441878E0,1.698754649E0
1.296807292E0,6.685703453E-1,-1.222613032E0,3.374403595E0,3.650803823E0
1.306759292E0,1.293350893E0,-8.686389685E-1,3.013605831E0,3.392507965E0
1.316711292E0,1.294919701E0,1.015552016E0,1.510531685E0,2.233801446E0
1.326663292E0,1.459101915E0,1.774862670E0,7.930087423E-1,2.430633407E0
1.336616292E0,1.690736439E0,1.598822302E0,2.608961843E-1,2.341557020E0
1.346568292E0,1.826569305E0,9.727416265E-1,-8.912516132E-2,2.071358248E0
1.356520292E0,2.018008900E0,-1.406284600E-1,-3.031655601E-1,2.045493985E0
1.366472292E0,1.878589936E0,8.025069594E-1,2.651764923E-1,2.059960228E0
1.376425292E0,2.739167641E0,1.618637931E0,-3.089219977E-1,3.196632747E0
1.386377292E0,2.819675615E0,1.135956711E0,-5.607678616E-1,3.091185665E0
1.396329292E0,1.924918011E0,6.954912186E-1,3.997951841E-1,2.085390508E0
1.406281292E0,1.765701691E0,1.108807504E-2,8.849344276E-1,1.975078314E0
1.416234292E0,1.697335461E0,8.222799039E-1,9.403117990E-1,2.107434029E0
1.426186292E0,1.462643719E0,1.183622628E0,-1.144350535E0,2.202232350E0
1.436138292E0,9.433480389E-1,1.015397065E0,1.015229688E0,1.718030279E0
1.446090292E0,3.567256900E-1,7.817961216E-1,4.421630563E0,4.504361800E0
1.456043292E0,-2.970409671E-1,-1.687957258E0,-1.514808923E-1,1.720575340E0
1.465995292E0,-2.313034844E0,-2.675708687E0,-4.305956849E0,5.572325507E0
1.475947292E0,-3.380294372E0,-2.077094137E0,8.427114787E0,9.314342367E0
1.485899292E0,-2.802415803E0,-2.040322752E0,1.049369095E-1,3.468063296E0
1.495852292E0,-1.348196752E0,-1.335013474E0,-7.415560513E0,7.654438789E0
1.505804292E0,-7.022068188E-1,-1.733091331E-1,-8.497916383E-1,1.115919487E0
1.515756292E0,6.133543570E-1,2.866881064E0,3.783257285E0,4.786255978E0
1.525709292E0,9.657597587E-2,1.319224237E0,-3.254372537E0,3.512921877E0
1.535661292E0,1.868382744E-1,5.715752703E-1,-1.383568168E0,1.508597927E0
1.545613292E0,1.505439929E0,9.261176831E-1,-5.284372906E-1,1.844800616E0
1.555565292E0,1.488517941E0,1.517849475E-1,-9.575903213E-1,1.776430003E0
1.565518292E0,2.802862823E-1,-6.764339733E-1,-1.832425146E0,1.973298060E0
