"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.117833287E-3,-2.570454712E0,7.522007904E0,4.309987335E0,9.042335493E0
1.307083329E-2,-2.486179962E0,8.062683563E0,4.180656281E0,9.416254244E0
2.302283328E-2,-2.588716736E0,7.940088501E0,4.664749603E0,9.565895076E0
3.297583328E-2,-2.535876617E0,8.050109711E0,5.145998840E0,9.885152535E0
4.292783339E-2,-2.623893585E0,8.333021393E0,5.472320251E0,1.030875123E1
5.288083339E-2,-3.003204803E0,8.621770935E0,5.683231659E0,1.075422221E1
6.283383339E-2,-3.312461700E0,8.593330078E0,5.989195404E0,1.098581749E1
7.278583338E-2,-3.158282318E0,8.178542633E0,6.052813110E0,1.065363099E1
8.273883339E-2,-2.613714752E0,8.073311462E0,6.059998169E0,1.042753281E1
9.269083338E-2,-2.299218750E0,8.054600372E0,6.465953979E0,1.058166125E1
1.026438334E-1,-2.646795959E0,8.230933685E0,7.109316101E0,1.119357734E1
1.125958334E-1,-2.375559998E0,8.630752258E0,7.297025757E0,1.154901531E1
1.225488334E-1,-2.075883179E0,8.826694794E0,7.096742249E0,1.151449445E1
1.325018334E-1,-2.063908081E0,8.400381317E0,6.893315277E0,1.106091851E1
1.424538334E-1,-2.067051544E0,7.656877441E0,6.979835358E0,1.056496928E1
1.524068334E-1,-1.719773712E0,7.223977661E0,6.956633606E0,1.017537351E1
1.623589167E-1,-9.373507690E-1,7.275919647E0,7.142097931E0,1.023851532E1
1.723119167E-1,-2.080673218E-2,7.181466064E0,7.522157593E0,1.039984339E1
1.822649167E-1,8.167016602E-1,6.954837341E0,7.928861847E0,1.057845046E1
1.922169167E-1,1.733096008E0,6.966662750E0,7.688162384E0,1.051883323E1
2.021699167E-1,2.382146301E0,6.679859161E0,7.138505402E0,1.006247478E1
2.121219167E-1,2.594704285E0,6.084397430E0,6.389163666E0,9.196401185E0
2.220749167E-1,2.667003937E0,5.519322510E0,5.887856140E0,8.499569453E0
2.320269167E-1,2.821033630E0,5.064119110E0,6.009403381E0,8.349638442E0
2.419799167E-1,3.249891815E0,4.771477661E0,6.248156891E0,8.506953651E0
2.519329167E-1,3.770958252E0,4.643044739E0,6.573580170E0,8.887628864E0
2.618849167E-1,3.902085571E0,4.187691650E0,6.853049011E0,8.929015282E0
2.718379167E-1,4.854105835E0,4.085454254E0,8.050109711E0,1.024975835E1
2.817899167E-1,5.266198883E0,4.042942657E0,9.137747955E0,1.129498445E1
2.917429167E-1,4.302053833E0,4.305047607E0,1.003782623E1,1.173878433E1
3.016959167E-1,3.215613098E0,5.714666290E0,1.116273697E1,1.294620698E1
3.116479167E-1,3.799848175E0,5.959257660E0,1.135523666E1,1.337508870E1
3.216009167E-1,4.430486755E0,5.702242126E0,9.918374634E0,1.226861580E1
3.315529167E-1,4.199067993E0,5.411696320E0,8.165070648E0,1.065772057E1
3.415059167E-1,3.987857208E0,5.118605804E0,6.925797729E0,9.490511297E0
3.514579167E-1,3.799997864E0,5.256618805E0,6.104455719E0,8.907098554E0
3.614109167E-1,3.554658051E0,5.691464539E0,6.623875580E0,9.428896550E0
3.713639167E-1,3.618425446E0,5.803731079E0,7.002138977E0,9.788066581E0
3.813159167E-1,3.856879578E0,5.107678528E0,7.301366730E0,9.709472496E0
3.912689167E-1,3.266956329E0,4.953349457E0,6.949897614E0,9.138366995E0
4.012209167E-1,3.737727356E0,5.223836975E0,8.044720917E0,1.029449431E1
4.111739167E-1,4.462669830E0,5.181175690E0,8.483608246E0,1.089640365E1
4.211269167E-1,4.509821777E0,5.187163239E0,7.265591125E0,1.000169832E1
4.310789166E-1,4.255800018E0,5.010829926E0,7.270530853E0,9.802084943E0
4.410319166E-1,4.003424835E0,4.423301697E0,7.273674316E0,9.407409121E0
4.509839166E-1,4.071233826E0,4.096082153E0,7.318431244E0,9.322675031E0
4.609369166E-1,4.205354919E0,4.300706635E0,7.023843842E0,9.247457481E0
4.708889166E-1,3.957470398E0,4.551734619E0,6.587052155E0,8.931355781E0
4.808419166E-1,4.026177521E0,4.619842987E0,6.852001190E0,9.192549971E0
4.907949166E-1,3.926484833E0,4.434228973E0,7.306156769E0,9.405296192E0
5.007469166E-1,3.785328369E0,4.514312439E0,7.802225189E0,9.776627515E0
5.106999166E-1,4.439917145E0,4.719236298E0,8.258925476E0,1.049732849E1
5.206519166E-1,4.846920776E0,4.601281586E0,8.076305237E0,1.048289748E1
