"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.969916630E-3,-3.198249207E0,6.920259247E0,5.976322174E0,9.686857734E0
1.192391664E-2,-3.248694305E0,6.796915741E0,5.611680450E0,9.393776437E0
2.187791665E-2,-3.316353607E0,6.953340454E0,4.793631592E0,9.073370298E0
3.183091665E-2,-3.405268707E0,7.176226959E0,4.910089417E0,9.338258211E0
4.178491666E-2,-3.519481201E0,7.172784119E0,5.519921265E0,9.711081850E0
5.173891666E-2,-3.435356140E0,7.323520660E0,6.049070892E0,1.010083587E1
6.169291667E-2,-3.282673645E0,7.368576965E0,6.393205261E0,1.029295615E1
7.164591667E-2,-3.097508698E0,7.301217041E0,6.594386902E0,1.031446892E1
8.159991668E-2,-3.119363251E0,7.344926147E0,6.802903290E0,1.048607936E1
9.155391669E-2,-3.206931152E0,7.477400665E0,6.927444305E0,1.068575747E1
1.015069167E-1,-3.016676788E0,7.369175720E0,6.706803131E0,1.041087402E1
1.114602917E-1,-2.610421600E0,7.144043884E0,6.502028961E0,1.000640018E1
1.214142917E-1,-2.345023499E0,7.454498291E0,6.545438690E0,1.019369647E1
1.313682917E-1,-2.618055725E0,7.692802734E0,6.574178925E0,1.045242834E1
1.413212917E-1,-2.628384247E0,7.101831665E0,6.530320129E0,9.999474873E0
1.512752917E-1,-2.314037933E0,6.985224152E0,6.415209503E0,9.762327641E0
1.612292917E-1,-2.218985596E0,6.965165863E0,6.308032379E0,9.655501285E0
1.711822917E-1,-2.071093140E0,6.943760376E0,5.977519684E0,9.393400690E0
1.811362917E-1,-1.904938660E0,7.264243927E0,5.792504425E0,9.484257411E0
1.910902917E-1,-2.431693268E0,6.640491028E0,5.808970184E0,9.151687705E0
2.010442917E-1,-2.230212250E0,6.438261566E0,5.898334351E0,9.011959098E0
2.109972917E-1,-1.848356323E0,6.140081635E0,6.127657471E0,8.869340993E0
2.209512917E-1,-1.643731842E0,5.706732788E0,6.146368561E0,8.546724517E0
2.309052916E-1,-1.405876465E0,5.759572906E0,7.259753265E0,9.373003050E0
