"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.217250040E-3,-3.323987732E0,7.776478729E0,6.660549316E0,1.076500966E1
1.416925003E-2,-2.817141724E0,8.354875946E0,6.219117279E0,1.078970154E1
2.412125003E-2,-2.268831940E0,8.204588470E0,5.868097229E0,1.033912160E1
3.407325002E-2,-2.163600769E0,8.000413055E0,5.566175079E0,9.983490490E0
4.402525001E-2,-2.101030884E0,8.067174225E0,5.733976135E0,1.011791051E1
5.397725001E-2,-1.821112976E0,7.759414215E0,5.950575714E0,9.946572915E0
6.392925000E-2,-1.361119537E0,7.454049225E0,6.455326080E0,9.954231816E0
7.388124999E-2,-5.836363220E-1,7.462282104E0,7.269183655E0,1.043395019E1
8.383324998E-2,8.158035278E-2,7.415728912E0,7.502698059E0,1.054941557E1
9.378524998E-2,3.929328918E-1,7.294630737E0,7.387437744E0,1.038943070E1
1.037362500E-1,6.262976074E-1,7.379953308E0,7.177574158E0,1.031375442E1
1.136882500E-1,5.605842590E-1,7.412585449E0,6.864874420E0,1.011865498E1
1.236402499E-1,1.601669312E-1,7.076234894E0,6.700516205E0,9.746572276E0
1.335922499E-1,-1.062789917E-2,6.932084656E0,6.484814758E0,9.492456641E0
1.435442501E-1,-3.921844482E-2,6.901847534E0,6.234235840E0,9.300684597E0
1.534962500E-1,-1.454974365E-1,6.787784729E0,6.044729919E0,9.090321822E0
1.634482500E-1,-3.330574036E-1,6.621031494E0,5.818849640E0,8.820884106E0
1.734002500E-1,-9.134005737E-1,6.224655762E0,5.636828156E0,8.447157606E0
1.833522500E-1,-2.677482147E0,4.607718201E0,6.295458527E0,8.248198332E0
1.933042500E-1,1.543290710E-1,6.404880981E0,5.947282562E0,8.741652460E0
2.032562500E-1,-2.427951050E-1,5.886359253E0,6.631210327E0,8.870238166E0
2.132082500E-1,3.435356140E-1,5.153782654E0,6.046975250E0,7.952697784E0
2.231602500E-1,5.598358154E-1,4.470902710E0,5.703589325E0,7.268653133E0
2.331122500E-1,4.056564331E-1,3.492836609E0,7.294630737E0,8.097907280E0
2.430642500E-1,5.090913391E-1,3.922592926E0,8.038284302E0,8.958790307E0
2.530162500E-1,-6.325845337E-1,4.781357117E0,7.812254333E0,9.181114139E0
2.629682500E-1,-1.586251373E0,5.092110901E0,7.350314941E0,9.081460047E0
2.729202500E-1,-2.766996002E0,5.743406525E0,6.528673553E0,9.125051438E0
2.828722500E-1,-3.230282593E0,5.565127258E0,6.741680603E0,9.319636494E0
2.928232501E-1,-2.563569031E0,4.741390228E0,7.371720428E0,9.132082432E0
3.027752500E-1,-1.404678955E0,4.606371002E0,7.046596527E0,8.535004358E0
3.127272500E-1,-2.183958435E-1,5.172493744E0,8.459658051E0,9.918074541E0
3.226792500E-1,1.220711517E0,7.154821472E0,1.030127838E1,1.260150559E1
3.326312500E-1,2.474803619E0,8.748706970E0,1.001836670E1,1.352893928E1
3.425832500E-1,3.068918152E0,1.013377670E1,9.426946564E0,1.417670661E1
3.525352500E-1,3.002606049E0,1.164368683E1,9.103618927E0,1.508200794E1
3.624872500E-1,2.582729187E0,1.261307098E1,8.957073669E0,1.568404343E1
3.724392500E-1,2.066452789E0,1.231848358E1,8.483159180E0,1.509898190E1
3.823912500E-1,1.413211212E0,1.138936569E1,8.027955780E0,1.400581632E1
3.923432500E-1,4.740641785E-1,1.050455566E1,7.580985260E0,1.296309238E1
4.022952500E-1,-3.851490784E-1,9.687854004E0,7.208410034E0,1.208155744E1
4.122472500E-1,-1.024768982E0,8.812174988E0,6.919211426E0,1.125078069E1
4.221992500E-1,-1.619482269E0,7.948920135E0,6.803801422E0,1.058771779E1
4.321512500E-1,-2.414628754E0,7.160060577E0,6.668782196E0,1.007817223E1
4.421032500E-1,-3.367846527E0,6.506519623E0,6.330335999E0,9.682476010E0
4.520552499E-1,-4.130959625E0,5.999224548E0,5.911806335E0,9.381096778E0
4.620072501E-1,-4.554129639E0,5.595663757E0,5.547164612E0,9.100691451E0
4.719582500E-1,-4.731810150E0,5.425617371E0,5.371729431E0,8.982362063E0
4.819102500E-1,-4.816683655E0,5.425168304E0,5.229076080E0,8.942937393E0
4.918622500E-1,-4.859943695E0,5.499114532E0,5.026696930E0,8.895335597E0
5.018142500E-1,-4.887935486E0,5.766907654E0,4.986430664E0,9.056137586E0
5.117662500E-1,-4.894372101E0,6.158193970E0,5.238356781E0,9.450852501E0
5.217182500E-1,-4.876259766E0,6.600224762E0,5.577401733E0,9.922110980E0
5.316702500E-1,-4.777465210E0,6.937174072E0,5.889203339E0,1.027770762E1
5.416222500E-1,-4.594844971E0,7.210805054E0,6.167474670E0,1.054258287E1
5.515742500E-1,-4.363276520E0,7.468569031E0,6.305337982E0,1.070397087E1
5.615262500E-1,-4.018842773E0,7.690707092E0,6.266119537E0,1.070337923E1
5.714782500E-1,-3.713777161E0,7.965086517E0,6.084098053E0,1.068882562E1
5.814288750E-1,-3.405418396E0,8.224946136E0,6.022276611E0,1.074776391E1
5.913808750E-1,-3.167113953E0,8.350235596E0,6.080206146E0,1.080397853E1
6.013328750E-1,-3.017275543E0,8.297545166E0,6.215075684E0,1.079723915E1
6.112848750E-1,-3.036884766E0,8.153843994E0,6.253994751E0,1.071542306E1
6.212368750E-1,-3.018323364E0,7.830216980E0,6.224805450E0,1.044848203E1
6.311888749E-1,-2.956801300E0,7.398365021E0,6.212081909E0,1.010289268E1
6.411408749E-1,-2.815046082E0,7.015012207E0,6.239624634E0,9.801418075E0
6.510928751E-1,-2.602188721E0,6.765032043E0,6.301446075E0,9.604439980E0
6.610438750E-1,-2.393073578E0,6.557713165E0,6.251899109E0,9.371053600E0
6.709958750E-1,-2.330803070E0,6.554719391E0,6.214626617E0,9.328374630E0
6.809478750E-1,-2.421963501E0,6.720424805E0,6.211183777E0,9.466193568E0
6.908998750E-1,-2.583627319E0,6.885232086E0,6.138884125E0,9.579532833E0
7.008518750E-1,-2.715802460E0,7.071594543E0,6.187083893E0,9.780748411E0
7.108038750E-1,-2.771935730E0,7.252867584E0,6.317462769E0,1.000989769E1
7.207558750E-1,-2.764151917E0,7.376660156E0,6.406677246E0,1.015387434E1
7.307078750E-1,-2.808160400E0,7.497309265E0,6.366710358E0,1.022890081E1
7.406598750E-1,-2.931653595E0,7.678282928E0,6.141129456E0,1.025982907E1
7.506118750E-1,-3.106939087E0,7.909851379E0,5.821094971E0,1.030067794E1
7.605638750E-1,-3.237916718E0,8.089178467E0,5.530549164E0,1.032016894E1
7.705158750E-1,-3.347937927E0,8.182584229E0,5.319637756E0,1.031803852E1
7.804678750E-1,-3.426674194E0,8.216114502E0,5.206173706E0,1.031265621E1
7.904198749E-1,-3.517684937E0,8.181835785E0,5.124144287E0,1.027489167E1
8.003718751E-1,-3.620820465E0,8.086783447E0,5.093907166E0,1.022028853E1
8.103238750E-1,-3.722459106E0,7.965984650E0,5.060825958E0,1.014522413E1
8.202758750E-1,-3.814817047E0,7.832911377E0,5.004243622E0,1.004737697E1
8.302278750E-1,-3.816763000E0,7.658074951E0,4.905449066E0,9.862921591E0
8.401788750E-1,-3.742816772E0,7.500602417E0,4.816683655E0,9.667893020E0
8.501308750E-1,-3.707939301E0,7.431296539E0,4.710704041E0,9.547969138E0
8.600828750E-1,-3.699407043E0,7.387288055E0,4.432881775E0,9.375930787E0
8.700348750E-1,-3.715573425E0,7.334298248E0,4.223616943E0,9.243178931E0
8.799868750E-1,-3.773203583E0,7.335645447E0,3.992647247E0,9.164605362E0
8.899388750E-1,-3.858675842E0,7.393874359E0,3.852987671E0,9.187179724E0
8.998908750E-1,-3.923790436E0,7.477700043E0,3.821852417E0,9.269233259E0
9.098428750E-1,-3.990551605E0,7.581434326E0,4.072131958E0,9.486037489E0
9.197948750E-1,-3.965703278E0,7.666756897E0,4.543501740E0,9.754453950E0
9.297468750E-1,-3.905229034E0,7.652386780E0,5.077291718E0,9.979415235E0
9.396988750E-1,-3.843706970E0,7.569908295E0,5.614973602E0,1.017867985E1
9.496508749E-1,-3.752696228E0,7.426506500E0,6.016289062E0,1.026798237E1
9.596028751E-1,-3.649411011E0,7.314239960E0,6.292913818E0,1.031586503E1
9.695548750E-1,-3.533252563E0,7.267986145E0,6.474486237E0,1.035502141E1
9.795068750E-1,-3.495531006E0,7.273824005E0,6.496340790E0,1.036000465E1
9.894588750E-1,-3.541186066E0,7.386838989E0,6.402935028E0,1.039725762E1
9.994108750E-1,-3.567231903E0,7.495363312E0,6.347849579E0,1.044991909E1
1.009362875E0,-3.564537506E0,7.574698334E0,6.386469269E0,1.052943361E1
1.019313875E0,-3.521576843E0,7.677384796E0,6.293213196E0,1.053319862E1
1.029265875E0,-3.512146454E0,7.908354492E0,5.941145325E0,1.049640182E1
1.039217875E0,-3.481310577E0,8.319549408E0,5.368436279E0,1.049545300E1
1.049169875E0,-3.424129486E0,8.838819580E0,4.748575287E0,1.060180935E1
1.059121875E0,-3.458857269E0,9.278904419E0,4.169729004E0,1.074469175E1
1.069073875E0,-3.649710388E0,9.543853455E0,3.556005249E0,1.081899709E1
1.079025875E0,-3.947740631E0,9.537267151E0,3.029999084E0,1.075755619E1
1.088977875E0,-4.279301147E0,9.242530060E0,2.878663788E0,1.058411477E1
1.098929875E0,-4.387975159E0,8.791517944E0,3.192561035E0,1.033138712E1
1.108881875E0,-4.119433594E0,8.385262756E0,3.780089264E0,1.007826570E1
1.118833875E0,-3.765868835E0,8.215964813E0,4.618495789E0,1.014959848E1
1.128785875E0,-3.489693146E0,8.186326447E0,5.198539581E0,1.030624630E1
1.138737875E0,-3.388503571E0,8.358618164E0,5.703439636E0,1.067134845E1
1.148689875E0,-3.646117859E0,8.498128052E0,6.328240356E0,1.120531043E1
1.158641875E0,-4.110152893E0,8.123008118E0,6.857839050E0,1.139765652E1
1.168593875E0,-5.044060822E0,7.159012756E0,7.439828796E0,1.149108636E1
1.178545875E0,-6.134094086E0,6.327791290E0,8.193810883E0,1.203356097E1
1.188497875E0,-6.663842468E0,5.600004730E0,8.374185791E0,1.207865212E1
1.198448875E0,-6.791227570E0,4.890929260E0,8.341703339E0,1.181634358E1
1.208400875E0,-6.595734100E0,4.710105286E0,8.805888062E0,1.196797663E1
1.218352875E0,-6.192173309E0,4.722379761E0,9.449998627E0,1.224525847E1
1.228304875E0,-5.831872559E0,4.402794342E0,9.440568237E0,1.193816000E1
1.238256875E0,-5.519023132E0,3.682192841E0,8.843010864E0,1.105517985E1
1.248208875E0,-5.605692902E0,3.401227112E0,7.970774689E0,1.032111370E1
1.258160875E0,-5.872288513E0,3.045417023E0,7.212751007E0,9.786833723E0
1.268112875E0,-6.063740387E0,2.240391083E0,6.505172424E0,9.170908786E0
1.278064875E0,-6.204447784E0,1.884580994E0,5.747747498E0,8.665068905E0
1.288016875E0,-6.400839386E0,1.923350372E0,4.935536499E0,8.308401894E0
1.297968875E0,-6.652166748E0,2.267634430E0,4.232897644E0,8.204322691E0
1.307920875E0,-6.757098541E0,2.847678223E0,3.936064911E0,8.322274866E0
1.317872875E0,-6.743626556E0,3.340004425E0,4.140090637E0,8.589090707E0
1.327824875E0,-6.637048187E0,3.813170471E0,4.597239990E0,8.928902128E0
1.337776875E0,-6.573430481E0,4.255350952E0,4.879253540E0,9.226327282E0
1.347728875E0,-6.360423431E0,4.563709717E0,4.841232605E0,9.204344938E0
1.357680875E0,-6.279741211E0,4.817132721E0,4.699178009E0,9.204465834E0
1.367632875E0,-6.392157440E0,5.110223236E0,4.453239441E0,9.316941546E0
1.377584875E0,-6.458619232E0,5.442681885E0,3.797004089E0,9.260334148E0
1.387535875E0,-6.404581604E0,5.943989410E0,3.014281769E0,9.243136384E0
1.397487875E0,-6.702013092E0,6.572682037E0,2.640808411E0,9.751461312E0
1.407439875E0,-7.351213074E0,7.016060028E0,2.126927032E0,1.038216021E1
1.417391875E0,-8.255033569E0,7.208260345E0,1.995500336E0,1.113941731E1
1.427343875E0,-9.040899353E0,7.333849182E0,2.670446777E0,1.194380555E1
1.437295875E0,-9.319320374E0,7.332801361E0,3.808530121E0,1.245490304E1
1.447247875E0,-9.102571106E0,6.923702087E0,5.033283234E0,1.249513471E1
1.457199875E0,-8.815168762E0,6.325545959E0,6.071524200E0,1.243314675E1
1.467151875E0,-8.519533539E0,5.832022247E0,6.358926544E0,1.212562914E1
1.477103875E0,-8.684041443E0,5.486840057E0,5.541476440E0,1.167158733E1
1.487055875E0,-9.303153992E0,5.138514404E0,4.064946899E0,1.137878718E1
1.497007875E0,-9.889933777E0,4.611460419E0,2.436183929E0,1.118084744E1
1.506959875E0,-1.033929932E1,4.022884369E0,1.162033539E0,1.115504509E1
1.516911875E0,-1.047162415E1,3.439547424E0,3.080593872E-1,1.102634569E1
1.526863875E0,-9.975555725E0,2.937940521E0,-1.610650635E-1,1.040043982E1
1.536815875E0,-9.426198120E0,2.528990936E0,-2.360591125E-1,9.762414151E0
