"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.392214166E-1,-3.272943878E0,7.762258301E0,5.303770752E0,9.954637098E0
7.491734166E-1,-3.510050812E0,7.665260010E0,4.437821503E0,9.527377782E0
7.591264166E-1,-3.020419006E0,7.527696075E0,4.370162201E0,9.213438926E0
7.690794166E-1,-2.554438019E0,7.669900360E0,4.823868713E0,9.413938309E0
7.790314166E-1,-2.496807861E0,8.331225128E0,4.872517548E0,9.969191988E0
7.889844166E-1,-2.340981903E0,8.795559540E0,4.760849762E0,1.027169676E1
7.989374166E-1,-2.343825989E0,8.652756500E0,4.120331726E0,9.866146606E0
8.088894166E-1,-2.467618561E0,8.373287659E0,2.937341766E0,9.210269498E0
8.188424166E-1,-2.568957825E0,8.081244965E0,1.972747650E0,8.706193070E0
8.287954166E-1,-2.113155670E0,7.794740753E0,1.456321564E0,8.206356243E0
8.387474166E-1,-1.836530914E0,7.713908844E0,1.530567169E0,8.075882076E0
8.487004166E-1,-1.787283325E0,7.870782623E0,1.985770569E0,8.311852112E0
8.586534166E-1,-1.544787598E0,7.776179352E0,2.532882843E0,8.322909920E0
8.686054167E-1,-1.278940430E0,7.465724945E0,3.090473328E0,8.180694528E0
8.785584166E-1,-8.931925964E-1,7.298372955E0,2.974913635E0,7.931844171E0
8.885104167E-1,-1.126108246E0,7.249275055E0,2.131417694E0,7.639571322E0
8.984634167E-1,-2.222877502E0,7.306456146E0,8.979826355E-1,7.689724223E0
9.084164167E-1,-3.180885315E0,7.151977386E0,-6.469546509E-1,7.854130267E0
9.183684167E-1,-3.645369415E0,6.833888855E0,-1.955383759E0,7.988384111E0
9.283214167E-1,-3.827989655E0,6.543492737E0,-2.819985809E0,8.088456092E0
9.382744167E-1,-3.439098358E0,6.042035522E0,-3.052302704E0,7.592769097E0
9.482264167E-1,-2.996319122E0,5.219046936E0,-1.954485626E0,6.327431807E0
9.581794167E-1,-2.404300232E0,4.828359375E0,-3.152444458E-1,5.403063290E0
9.681314167E-1,-1.798060913E0,4.797074432E0,1.718576202E0,5.403559042E0
9.780844167E-1,-1.297202454E0,6.249055023E0,3.689228210E0,7.371826617E0
9.880374167E-1,-4.962181091E-1,8.670719147E0,4.287983093E0,9.685783497E0
9.979894167E-1,-1.058299255E-1,1.038675064E1,3.064726868E0,1.082997413E1
1.007942417E0,-7.119195557E-1,1.488923767E1,2.705024872E0,1.514969925E1
1.017895042E0,1.026116180E0,1.622056915E1,2.278412018E0,1.641191456E1
1.027847042E0,1.107696533E0,1.806862610E1,1.512005768E0,1.816558290E1
1.037800042E0,1.405876465E0,1.779424667E1,2.374212799E0,1.800690395E1
1.047753042E0,1.639690247E0,1.646695679E1,3.906127167E0,1.700314910E1
1.057705042E0,1.245559845E0,1.477951584E1,3.091820526E0,1.515073800E1
1.067658042E0,3.348536682E-1,1.230710724E1,7.140151978E-1,1.233234906E1
1.077610042E0,-9.970765686E-1,1.234647537E1,-1.009201355E0,1.242771512E1
1.087563042E0,-9.535171509E-1,1.262190262E1,-3.168311462E0,1.304836458E1
1.097516042E0,-3.936813354E-1,1.355311615E1,-2.607727203E0,1.380732355E1
1.107468042E0,-1.352587280E0,1.395742538E1,-3.966751099E-1,1.402841997E1
1.117421042E0,-3.989354095E0,1.317021240E1,1.554966431E0,1.384873140E1
1.127374042E0,-6.415808258E0,1.190204956E1,2.518063660E0,1.375361858E1
1.137326042E0,-6.837182007E0,1.071606583E1,2.644251251E0,1.298357383E1
1.147279042E0,-5.577401733E0,9.965975647E0,1.719624023E0,1.154925052E1
1.157232042E0,-3.735631714E0,1.054078033E1,-7.363188171E-1,1.120737078E1
1.167184042E0,-1.572779388E0,1.126108246E1,-1.343905334E0,1.144952814E1
1.177137042E0,7.878117371E-1,1.073836945E1,1.261426849E0,1.084086820E1
1.187089042E0,3.549269257E0,9.788145447E0,7.917335815E0,1.308011124E1
1.197042042E0,5.137316895E0,7.311395874E0,7.369026031E0,1.158236069E1
1.206995042E0,4.674329681E0,4.199217682E0,6.298901367E0,8.897131310E0
1.216947042E0,4.935835876E0,1.315614166E0,2.916984100E0,5.882356048E0
1.226900042E0,4.716092834E0,2.017504578E0,1.326092377E0,5.298148482E0
1.236853042E0,4.073479156E0,4.801265717E0,1.461560669E0,6.463864518E0
1.246805042E0,3.935017090E0,6.654412079E0,1.030606842E0,7.799212145E0
1.256758042E0,2.661166077E0,7.943830719E0,-1.549577637E0,8.519826420E0
1.266710042E0,1.801952820E0,8.810977478E0,-2.164199524E0,9.250087441E0
1.276663042E0,1.626218262E0,4.615352325E0,7.858657837E-2,4.894102448E0
1.286616042E0,-6.086343384E-1,1.154818542E1,3.990551605E0,1.223337748E1
1.296568042E0,8.659492493E-1,1.340417587E1,-1.246008911E0,1.348978640E1
1.306521042E0,-1.911974030E0,1.401894745E1,-2.338886261E0,1.434074340E1
1.316474042E0,-2.513423309E0,1.507859390E1,1.969903564E-1,1.528790686E1
1.326426042E0,-9.562115479E-1,1.388213196E1,1.950593719E0,1.405107626E1
1.336379042E0,8.854087830E-1,1.067699707E1,2.450254669E0,1.099026674E1
1.346332042E0,-4.445755005E-1,1.004950195E1,2.153571625E0,1.028727406E1
1.356284042E0,-3.296145630E0,1.049033524E1,1.662293243E0,1.112092299E1
1.366237042E0,-6.154451752E0,1.029544052E1,3.844006348E0,1.259562451E1
1.376189042E0,-7.378306732E0,7.880213013E0,1.334968918E1,1.716832457E1
1.386142042E0,-7.568561096E0,6.977739716E0,1.416713928E1,1.751227581E1
1.396095042E0,-8.931925964E0,8.445587311E0,2.424807587E0,1.252944286E1
1.406047042E0,-8.062683563E0,6.567742310E0,2.364033966E0,1.066446257E1
1.416000042E0,-6.220165100E0,6.987319794E0,5.487887878E0,1.084573673E1
1.425953042E0,-6.386319580E0,7.348967743E0,4.376748505E0,1.067465841E1
1.435905042E0,-3.850143585E0,8.697064362E0,2.344125366E0,9.795787762E0
1.445858042E0,-2.902763672E0,8.910221100E0,5.759273529E0,1.099942310E1
1.455811042E0,-2.405647430E0,8.063731384E0,7.762108612E0,1.144819783E1
1.465763042E0,-2.070644073E0,7.695048065E0,6.172264709E0,1.007959241E1
1.475716042E0,-3.626957703E-1,8.060138855E0,2.592608643E0,8.474609499E0
1.485668042E0,3.384461975E-1,7.859555969E0,3.415896606E-1,7.874252305E0
1.495621042E0,2.576741638E0,7.941735077E0,-2.000290375E0,8.585564343E0
1.505574042E0,5.214556274E0,9.752220154E0,-7.398365021E0,1.330538237E1
1.515526042E0,-2.402503967E-1,7.069498901E0,1.637594604E-1,7.075475400E0
1.525479042E0,3.954776001E-1,3.801345062E0,7.539970551E0,8.453270534E0
1.535432042E0,8.377478943E0,5.648054810E0,-6.971003723E-1,1.012761697E1
1.545384042E0,5.207820282E0,9.517807617E0,-3.651656342E0,1.144747343E1
1.555337042E0,5.169050903E0,1.286963745E1,-5.382656708E0,1.487681581E1
