"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.367364999E-1,3.431464233E0,8.797505493E0,7.337292023E0,1.195854941E1
7.466904999E-1,4.655169525E0,8.570278015E0,8.575217743E0,1.298670966E1
7.566434999E-1,4.918471985E0,8.528514862E0,9.966275024E0,1.400905315E1
7.665975000E-1,4.602628784E0,8.498128052E0,1.076127182E1,1.446400163E1
7.765505000E-1,4.572691040E0,8.294551392E0,1.137888748E1,1.480500478E1
7.865045000E-1,4.243675232E0,8.107141113E0,1.213212112E1,1.519614686E1
7.964575000E-1,3.476819916E0,8.129444733E0,1.299552567E1,1.571813716E1
8.064105000E-1,2.632276154E0,8.043224030E0,1.347378113E1,1.591116301E1
8.163645000E-1,1.718875580E0,7.626939697E0,1.332364334E1,1.544811362E1
8.263175000E-1,6.938072205E-1,6.917564850E0,1.275572433E1,1.452730447E1
8.362715000E-1,-3.559597778E-1,6.011199646E0,1.200638260E1,1.343184469E1
8.462245000E-1,-1.244362335E0,4.899162140E0,1.097382980E1,1.208201837E1
8.561785000E-1,-2.089355164E0,3.764072571E0,9.853110352E0,1.075255462E1
8.661315000E-1,-3.177442474E0,2.862647095E0,9.085207214E0,1.004150781E1
8.760855000E-1,-4.176764374E0,2.171384583E0,8.497080231E0,9.713940708E0
8.860385000E-1,-4.602778473E0,1.454824677E0,7.849377136E0,9.214923002E0
8.959925000E-1,-4.924010468E0,5.656736755E-1,7.657775574E0,9.121808622E0
9.059455000E-1,-5.286855927E0,-2.068698120E-1,7.899672546E0,9.507810844E0
9.158985000E-1,-5.655389557E0,-6.614744568E-1,7.967481537E0,9.792943456E0
9.258525000E-1,-5.923332367E0,-8.740324402E-1,8.161627808E0,1.012234990E1
9.358055000E-1,-6.019133148E0,-8.873547363E-1,8.453221436E0,1.041510033E1
9.457595000E-1,-6.040089569E0,-7.670050049E-1,8.679999847E0,1.060251744E1
9.557125000E-1,-6.192322998E0,-6.420149231E-1,8.450976105E0,1.049647771E1
9.656664999E-1,-6.255042572E0,-5.658233643E-1,7.784561920E0,1.000225564E1
9.756194999E-1,-6.323450317E0,-5.809419250E-1,7.208410034E0,9.606492214E0
9.855734999E-1,-6.541247406E0,-5.032534790E-1,7.016808472E0,9.606080513E0
9.955264999E-1,-6.744973755E0,-2.246827698E-1,6.812333679E0,9.589214955E0
1.005480500E0,-6.946305084E0,1.136137390E-1,6.630611572E0,9.603596838E0
1.015433500E0,-6.964267731E0,4.653822327E-1,6.396797791E0,9.467662205E0
1.025387500E0,-6.959028625E0,9.542655945E-1,6.209537201E0,9.375342900E0
1.035340500E0,-6.926995239E0,1.604663086E0,5.911806335E0,9.247035244E0
1.045293500E0,-6.951993256E0,2.032323761E0,5.422024841E0,9.047591032E0
1.055247500E0,-7.011719055E0,2.472707977E0,5.228028259E0,9.089046613E0
1.065200500E0,-7.106472015E0,3.053799591E0,5.162015533E0,9.299141940E0
1.075154500E0,-7.147486725E0,3.334765320E0,5.248685303E0,9.473960293E0
1.085107500E0,-7.100783844E0,3.308270416E0,5.316793671E0,9.467527622E0
1.095061500E0,-6.935826874E0,3.077600098E0,5.225034485E0,9.212942101E0
1.105014500E0,-6.796616364E0,2.750979309E0,5.215903473E0,8.998195941E0
1.114968500E0,-6.776707764E0,2.353406067E0,5.433999939E0,8.999480183E0
1.124921500E0,-6.722520447E0,1.842368774E0,5.746999054E0,9.034080030E0
1.134875500E0,-6.704108734E0,1.315913544E0,5.841602325E0,8.988938764E0
1.144828500E0,-6.772965546E0,9.759704590E-1,5.724246368E0,8.921467206E0
1.154781500E0,-6.975644073E0,9.077124023E-1,5.788762207E0,9.110066956E0
1.164735500E0,-6.896159363E0,1.024768982E0,6.277196503E0,9.381383766E0
1.174688500E0,-6.744225311E0,1.308878174E0,6.826404419E0,9.684912721E0
1.184642500E0,-6.466552734E0,1.620230713E0,7.087012482E0,9.729706971E0
1.194595500E0,-5.959107971E0,1.932481384E0,7.186705170E0,9.533844099E0
1.204549500E0,-5.713019714E0,2.217039642E0,7.172035675E0,9.433554725E0
1.214502500E0,-5.374274139E0,2.504891052E0,7.002138977E0,9.175361135E0
1.224456500E0,-4.927153931E0,2.834954681E0,6.846163330E0,8.898526071E0
1.234409500E0,-4.957690430E0,3.351380768E0,6.852899323E0,9.097949031E0
1.244363500E0,-4.947511597E0,4.130959625E0,7.060218201E0,9.559779258E0
1.254316500E0,-4.568350067E0,4.963228912E0,7.072193298E0,9.773401743E0
1.264270500E0,-4.487518158E0,5.753735046E0,6.899751892E0,1.004240322E1
1.274223500E0,-4.688550110E0,6.298302612E0,6.313720551E0,1.007542481E1
1.284176500E0,-4.819378052E0,6.445147247E0,5.416186981E0,9.700588088E0
1.294130500E0,-4.808750153E0,6.171216888E0,4.663552094E0,9.108057644E0
1.304083500E0,-4.481979675E0,5.608986053E0,4.030069427E0,8.233488079E0
1.314037500E0,-4.245770874E0,4.993466034E0,3.744762726E0,7.548809258E0
1.323990500E0,-4.260739746E0,4.193978577E0,3.828738098E0,7.099478496E0
1.333944500E0,-3.844006348E0,3.518283691E0,4.369114380E0,6.800284215E0
1.343897125E0,-3.525768127E0,3.416944427E0,5.584137726E0,7.435667035E0
1.353851125E0,-2.782264252E0,3.354973297E0,6.688391418E0,7.983196099E0
1.363804125E0,-2.350711670E0,3.519630890E0,6.870113525E0,8.069207322E0
