Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,404,162,199
8,270,111,135
12,183,71,90
16,124,50,62
20,89,47,52
24,72,39,44
28,59,22,30
32,44,12,19
36,34,15,18
40,32,11,15
44,27,0,6
48,20,0,0
52,13,0,0
56,13,0,0
60,13,0,0
64,9,0,0
68,5,0,0
72,8,0,0
76,12,0,0
80,11,0,0
84,10,2,2
88,12,14,11
92,21,16,17
96,25,12,15
100,24,18,18
104,28,31,28
108,36,32,32
112,38,23,27
116,35,23,26
120,35,32,31
124,40,28,30
128,38,16,22
132,32,8,14
136,27,12,14
140,27,11,14
144,26,0,5
148,18,0,0
152,12,0,0
156,13,0,0
160,13,0,0
164,8,0,0
168,5,0,0
172,6,0,0
176,11,0,0
180,11,0,0
184,9,0,1
188,14,14,12
192,22,16,16
196,24,11,15
200,24,20,19
204,29,32,29
208,37,31,32
212,38,22,27
216,34,22,24
220,34,30,30
224,39,29,31
228,39,16,22
232,32,8,14
236,27,13,15
240,28,10,14
244,26,0,4
248,17,0,0
252,12,0,0
256,10,0,0
260,12,0,0
264,8,0,0
268,5,0,0
272,8,0,0
276,12,0,0
280,11,0,0
284,10,2,2
288,15,15,13
292,23,15,16
296,24,12,15
300,22,18,17
304,27,31,28
308,35,32,32
312,38,23,27
316,35,23,25
320,35,32,31
324,40,28,30
328,39,14,20
332,31,9,14
336,27,13,15
340,28,8,12
344,23,0,3
348,16,0,0
352,11,0,0
356,12,0,0
360,13,0,0
364,8,0,0
368,4,0,0
372,8,0,0
376,12,0,0
380,10,0,0
384,8,0,0
388,13,14,12
392,21,15,16
396,24,12,14
400,24,20,19
404,28,32,29
408,36,30,32
412,38,22,26
416,35,24,26
420,36,32,31
424,40,26,29
428,37,15,20
432,30,8,13
436,26,12,14
440,27,9,13
444,25,0,3
448,17,0,0
452,12,0,0
456,13,0,0
460,12,0,0
464,7,0,0
468,5,0,0
472,6,0,0
476,11,0,0
480,10,0,0
484,9,3,2
488,15,16,13
492,23,15,16
496,24,12,15
500,24,21,20
504,30,33,30
508,37,29,31
512,37,22,26
516,34,23,25
520,35,32,30
524,39,27,30
528,38,13,20
532,31,9,14
536,27,13,15
540,28,8,12
544,25,0,2
548,16,0,0
552,11,0,0
556,11,0,0
560,12,0,0
564,8,0,0
568,5,0,0
572,8,0,0
576,12,0,0
580,10,0,0
584,10,4,4
588,16,16,14
592,23,14,16
596,24,12,15
600,22,19,19
604,28,32,29
608,36,30,31
612,38,22,26
616,34,25,26
620,36,32,31
624,40,26,29
628,38,12,18
632,30,9,14
636,27,13,15
640,26,9,12
644,24,0,3
648,17,0,0
652,11,0,0
656,13,0,0
660,12,0,0
664,7,0,0
668,5,0,0
672,9,0,0
676,12,0,0
680,10,0,0
684,8,2,2
688,14,15,13
692,22,15,16
696,24,12,15
700,24,22,21
704,30,33,30
708,37,30,31
712,38,22,26
716,34,26,26
720,37,32,32
724,40,24,28
728,36,13,19
732,29,9,13
736,26,13,15
740,27,8,12
744,24,0,2
748,16,0,0
752,12,0,0
756,13,0,0
760,12,0,0
764,6,0,0
768,3,0,0
772,7,0,0
776,12,0,0
780,10,0,0
784,10,5,5
788,16,17,14
792,23,14,16
796,24,12,15
800,24,24,22
804,31,33,31
808,38,28,30
812,36,22,25
816,33,24,25
820,35,32,31
824,39,26,29
828,37,12,19
832,30,9,13
836,27,13,15
840,28,5,11
844,24,0,0
848,15,0,0
852,11,0,0
856,11,0,0
860,11,0,0
864,7,0,0
868,4,0,0
872,9,0,0
876,12,0,0
880,10,0,0
884,10,7,6
888,18,17,16
892,24,14,16
896,23,11,14
900,23,22,20
904,29,33,30
908,37,29,31
912,37,22,26
916,34,26,27
920,37,32,32
924,40,24,28
928,37,11,18
932,29,10,14
936,27,13,15
940,26,7,11
944,23,0,1
948,15,0,0
952,11,0,0
956,13,0,0
960,12,0,0
964,6,0,0
968,5,0,0
972,10,0,0
976,12,0,0
980,10,0,0
984,9,5,4
988,16,16,14
992,23,14,16
996,24,12,15
1000,24,24,22
1004,31,33,31
1008,38,28,30
1012,37,21,25
1016,34,27,27
1020,37,32,32
