Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,405,209,231
8,289,167,182
12,221,143,152
16,176,124,131
20,145,113,116
24,128,110,111
28,121,108,109
32,115,103,104
36,107,99,100
40,104,102,101
44,105,103,102
48,106,102,101
52,102,99,98
56,100,100,99
60,103,104,102
64,106,102,102
68,103,100,100
72,101,101,100
76,104,105,104
80,107,104,103
84,104,101,100
88,101,100,99
92,102,104,102
96,106,104,104
100,105,101,101
104,101,100,99
108,102,103,102
112,106,104,103
116,105,99,100
120,101,98,98
124,101,102,100
128,103,103,101
132,104,100,100
136,100,97,97
140,99,100,98
144,103,103,101
148,104,101,100
152,101,98,98
156,100,101,99
160,103,104,102
164,105,102,102
168,102,99,99
172,100,101,99
176,103,105,102
180,106,104,103
184,104,100,100
188,101,101,100
192,103,104,103
196,107,104,103
200,105,100,100
204,101,100,99
208,103,103,101
212,106,103,102
216,104,100,100
220,100,98,97
224,100,101,99
228,104,102,101
232,104,99,99
236,100,97,97
240,100,101,99
244,103,103,101
248,104,100,100
252,100,98,98
256,99,100,98
260,102,103,102
264,105,102,102
268,103,100,99
272,100,101,100
276,104,105,103
280,106,104,103
284,104,100,100
288,101,102,100
292,104,105,103
296,107,104,103
300,104,100,100
304,101,100,98
308,102,103,101
312,105,103,102
316,104,99,99
320,100,98,97
324,101,101,100
328,104,102,101
332,104,99,99
336,100,98,97
340,100,101,99
344,102,102,101
348,104,100,100
352,101,98,97
356,99,101,99
360,103,104,102
364,105,102,102
368,102,100,99
372,101,102,100
376,104,105,103
380,106,103,103
384,103,100,99
388,101,101,99
392,103,104,103
396,107,104,103
400,105,100,100
404,101,100,99
408,103,103,102
412,106,103,102
416,104,99,99
420,100,99,97
424,101,102,100
428,103,102,101
432,104,100,99
436,100,97,97
440,100,101,99
444,104,103,101
448,104,100,100
452,100,98,98
456,100,101,100
460,104,104,103
464,105,102,102
468,102,99,99
472,100,102,99
476,103,105,103
480,106,104,103
484,104,100,100
488,102,102,100
492,104,105,103
496,107,103,103
500,104,100,100
504,101,101,99
508,103,104,102
512,105,103,102
516,104,100,100
520,100,98,97
524,101,102,100
528,104,102,102
532,104,99,99
536,100,98,97
540,100,101,99
544,104,103,101
548,104,100,100
552,100,98,98
556,99,101,99
560,103,104,102
564,105,102,102
568,102,100,99
572,101,102,100
576,104,105,103
580,106,103,103
584,103,100,100
588,101,102,101
592,105,105,104
596,107,103,103
600,104,100,100
604,101,100,99
608,102,103,101
612,105,103,102
616,104,99,99
620,100,98,98
624,101,102,100
628,105,102,101
632,103,98,98
636,99,98,97
640,99,100,99
644,103,102,101
648,104,100,100
652,100,98,97
656,100,101,100
660,104,104,103
664,105,102,101
668,102,99,99
672,101,103,101
676,105,105,103
680,106,102,102
684,102,99,99
688,100,101,100
692,103,104,103
696,106,104,103
700,104,100,100
704,101,101,99
708,103,103,102
712,106,102,102
716,103,98,99
720,100,99,98
724,102,102,100
728,103,102,101
732,103,98,98
736,99,97,97
740,100,101,99
744,104,102,101
748,103,99,99
752,100,99,97
756,100,102,100
760,104,104,102
764,105,101,101
768,101,99,98
772,100,102,100
776,104,105,103
780,106,103,103
784,103,100,100
788,101,102,101
792,105,105,104
796,107,103,103
800,103,100,100
804,101,101,100
808,104,103,102
812,105,103,102
816,104,99,99
820,100,99,98
824,101,102,100
828,105,102,101
832,103,98,99
836,99,98,97
840,100,102,100
844,104,102,101
848,103,99,99
852,100,99,98
856,100,101,99
860,104,104,102
864,105,101,101
868,101,99,98
872,101,103,101
876,105,105,104
880,106,103,103
884,103,100,100
888,102,103,101
892,105,105,103
896,106,103,103
900,103,99,99
904,100,100,99
908,103,103,102
912,106,102,102
916,103,99,99
920,100,99,98
924,102,102,101
928,105,102,101
932,103,98,98
936,99,98,97
940,99,101,99
944,103,103,101
948,103,100,100
952,100,98,97
956,100,102,100
960,104,104,102
964,104,101,101
968,101,100,99
972,101,103,101
976,105,105,103
980,106,102,102
984,102,100,99
988,101,102,100
992,104,105,103
996,106,103,102
1000,103,99,99
1004,101,101,99
1008,104,104,102
1012,106,102,101
1016,103,98,98
1020,100,100,98
1024,101,102,100
1028,104,102,101
1032,103,98,98
1036,99,98,97
1040,100,102,100
1044,104,103,102
1048,103,99,99
1052,100,99,98
1056,101,103,100
1060,105,104,102
1064,104,100,100
1068,100,99,98
1072,100,102,100
1076,104,105,103
1080,106,102,102
1084,102,100,99
1088,101,103,101
1092,105,105,103
1096,106,102,102
1100,103,99,99
1104,101,101,100
1108,104,104,102
1112,105,102,101
1116,102,98,98
1120,99,99,98
1124,102,102,100
1128,104,102,101
1132,103,97,98
1136,99,98,97
1140,101,102,100
1144,104,102,101
1148,103,99,99
1152,99,98,97
1156,100,102,100
1160,104,104,102
1164,104,101,101
1168,101,100,99
1172,101,103,101
1176,105,105,104
1180,106,102,102
1184,102,100,100
1188,102,103,101
1192,106,105,104
1196,106,103,102
1200,103,99,99
1204,101,101,99
1208,104,103,102
1212,106,102,101
1216,103,98,98
1220,100,99,98
1224,102,103,101
1228,105,101,101
1232,102,98,98
1236,99,99,98
1240,100,102,100
1244,105,102,101
1248,103,99,99
1252,100,99,98
1256,101,103,101
1260,105,104,103
1264,104,101,101
1268,101,100,99
1272,102,104,102
1276,106,105,104
1280,105,102,102
1284,102,100,99
1288,101,103,101
1292,105,105,103
1296,106,102,102
1300,103,99,99
1304,101,102,100
1308,104,104,103
1312,106,102,101
1316,102,98,98
1320,100,100,98
1324,101,102,101
1328,104,102,101
1332,102,98,98
1336,99,99,97
1340,101,102,100
1344,104,102,101
1348,103,99,99
1352,100,99,98
1356,102,103,101
1360,105,103,102
1364,104,100,100
1368,100,99,98
1372,101,102,101
1376,105,104,103
1380,105,102,102
1384,102,100,99
1388,102,103,101
1392,105,105,104
1396,106,102,102
1400,102,99,99
1404,101,102,100
1408,103,103,102
1412,105,102,101
1416,102,98,98
1420,100,100,98
1424,102,103,101
1428,105,101,101
1432,102,98,98
1436,99,99,97
1440,101,102,100
1444,104,102,101
1448,102,98,98
1452,99,98,97
1456,100,102,100
1460,104,103,102
1464,104,100,100
1468,101,100,99
1472,102,104,102
1476,106,105,104
1480,106,101,102
1484,102,100,100
1488,102,103,102
1492,106,105,104
1496,105,102,102
1500,102,99,99
1504,101,101,100
1508,104,104,102
1512,106,101,101
1516,102,98,98
1520,100,100,99
1524,103,103,101
1528,105,101,100
1532,101,97,98
1536,98,98,97
1540,101,102,100
1544,104,102,101
1548,102,98,99
1552,100,100,98
1556,102,103,101
1560,105,103,102
1564,104,100,100
1568,101,100,99
1572,102,104,102
1576,106,105,104
1580,105,102,101
1584,102,100,99
1588,102,103,101
1592,105,105,104
1596,106,102,102
1600,102,99,99
1604,101,102,100
1608,104,104,103
1612,105,101,101
1616,101,98,98
1620,100,100,99
1624,102,102,101
1628,104,101,101
1632,102,98,98
1636,99,99,98
1640,102,102,100
1644,104,102,101
1648,102,99,98
1652,100,100,98
1656,102,103,101
1660,105,103,102
1664,103,100,100
1668,100,100,98
1672,101,103,101
1676,105,105,103
1680,105,101,101
1684,101,100,99
1688,102,104,102
1692,106,105,104
1696,106,100,101
1700,101,99,98
1704,101,103,101
1708,104,104,103
1712,106,101,101
1716,102,97,98
1720,99,100,98
1724,103,103,102
1728,105,100,100
1732,101,97,97
1736,98,99,98
1740,102,103,102
1744,105,101,101
1748,102,98,97
1752,98,98,97
1756,101,103,101
1760,105,103,103
1764,104,100,100
1768,100,100,99
1772,102,105,102
1776,107,105,104
1780,105,100,100
1784,101,100,99
1788,102,105,102
1792,106,106,104
1796,106,101,102
1800,102,99,98
1804,101,103,100
1808,105,104,103
1812,106,100,101
1816,101,97,97
1820,100,101,99
1824,104,103,102
1828,105,100,100
1832,101,96,96
1836,98,99,97
1840,101,103,101
1844,105,101,101
1848,102,97,98
1852,99,100,98
1856,102,104,102
1860,106,103,103
1864,104,99,99
1868,100,101,99
1872,103,105,103
1876,107,104,104
1880,105,100,100
1884,101,100,99
1888,102,104,102
1892,106,105,104
1896,106,101,101
1900,102,99,98
1904,101,103,101
1908,105,104,103
1912,105,100,100
1916,101,97,97
1920,99,100,98
1924,103,103,102
1928,105,101,100
1932,101,97,97
1936,99,100,98
1940,102,103,102
1944,105,101,101
1948,102,97,98
1952,99,100,98
1956,103,104,102
1960,106,103,102
1964,103,99,99
1968,100,100,98
1972,102,105,102
1976,106,105,104
1980,105,100,101
1984,101,100,100
1988,103,105,103
1992,107,105,104
1996,106,100,101
2000,101,99,98
